human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,Description_prot,Coverage [%]_prot,# Peptides_prot,# PSMs_prot,# AAs_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17_prot,RR1_GC_NASA_LVR_POOL_prot,RR1_GC_NASA+CASIS_LVR_POOL_prot,RR1_BA_CASIS_LVR_POOL_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21.1_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17.1_prot,RR1_GC_NASA_LVR_POOL.1_prot,RR1_GC_NASA+CASIS_LVR_POOL.1_prot,RR1_BA_CASIS_LVR_POOL.1_prot,Mmus_C57-6J_LVR_GC_I_Rep1_M31_rna,Mmus_C57-6J_LVR_GC_I_Rep2_M32_rna,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_rna,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_rna,Mmus_C57-6J_LVR_GC_C_Rep1_M36_rna,Mmus_C57-6J_LVR_GC_C_Rep2_M37_rna,Mmus_C57-6J_LVR_GC_C_Rep3_M38_rna,Mmus_C57-6J_LVR_GC_C_Rep4_M39_rna,Mmus_C57-6J_LVR_GC_C_Rep5_M40_rna,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_rna,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_rna,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_rna,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_rna,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_rna
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2818.03681361487,2482.45638559069,1762.26434006891,2235.84212676327,1447.43819444766,3219.06095871849,3496.64053708656,3483.60939881248,2606.98265242918,1378.49138501071,752.381084633795,2040.23949140206,1633.67636684371,1947.53905570071
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2818.03681361487,2482.45638559069,1762.26434006891,2235.84212676327,1447.43819444766,3219.06095871849,3496.64053708656,3483.60939881248,2606.98265242918,1378.49138501071,752.381084633795,2040.23949140206,1633.67636684371,1947.53905570071
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2818.03681361487,2482.45638559069,1762.26434006891,2235.84212676327,1447.43819444766,3219.06095871849,3496.64053708656,3483.60939881248,2606.98265242918,1378.49138501071,752.381084633795,2040.23949140206,1633.67636684371,1947.53905570071
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2818.03681361487,2482.45638559069,1762.26434006891,2235.84212676327,1447.43819444766,3219.06095871849,3496.64053708656,3483.60939881248,2606.98265242918,1378.49138501071,752.381084633795,2040.23949140206,1633.67636684371,1947.53905570071
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2818.03681361487,2482.45638559069,1762.26434006891,2235.84212676327,1447.43819444766,3219.06095871849,3496.64053708656,3483.60939881248,2606.98265242918,1378.49138501071,752.381084633795,2040.23949140206,1633.67636684371,1947.53905570071
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2818.03681361487,2482.45638559069,1762.26434006891,2235.84212676327,1447.43819444766,3219.06095871849,3496.64053708656,3483.60939881248,2606.98265242918,1378.49138501071,752.381084633795,2040.23949140206,1633.67636684371,1947.53905570071
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2877.80813186074,4302.77800795372,2292.32691409123,3124.3938502645,1982.73737141646,3519.26145956984,3130.53399297597,2741.26980466169,3173.71879627912,2303.55672307118,2549.14149778041,1864.71388777067,2136.50975448488,3529.2131039037
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2877.80813186074,4302.77800795372,2292.32691409123,3124.3938502645,1982.73737141646,3519.26145956984,3130.53399297597,2741.26980466169,3173.71879627912,2303.55672307118,2549.14149778041,1864.71388777067,2136.50975448488,3529.2131039037
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2877.80813186074,4302.77800795372,2292.32691409123,3124.3938502645,1982.73737141646,3519.26145956984,3130.53399297597,2741.26980466169,3173.71879627912,2303.55672307118,2549.14149778041,1864.71388777067,2136.50975448488,3529.2131039037
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,2877.80813186074,4302.77800795372,2292.32691409123,3124.3938502645,1982.73737141646,3519.26145956984,3130.53399297597,2741.26980466169,3173.71879627912,2303.55672307118,2549.14149778041,1864.71388777067,2136.50975448488,3529.2131039037
