Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Ratios: (NASA FLT) / (Pool),Ratios: (Ba Pool) / (Pool),Ratios: (FLT Pool) / (Pool),Ratio Standard Errors [%]: (NASA FLT) / (Pool),Ratio Standard Errors [%]: (Ba Pool) / (Pool),Ratio Standard Errors [%]: (FLT Pool) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
False,IsMasterProtein,Q68FD5,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,71.5223880597015,120,278,118,1,1675,191.435,5.69,1.07,0.89,0.98,20.51,6.05,5.79,,120,0,0.0,Green,443.581457573225
False,IsMasterProtein,G5E8R3,Pyruvate carboxylase OS=Mus musculus GN=Pcx PE=1 SV=1,79.7962648556876,88,492,85,1,1178,129.618,6.71,1.08,0.9,1.08,16.68,3.26,3.22,,88,0,0.0,Green,442.772401532498
False,IsMasterProtein,Q3UQ44,Ras GTPase-activating-like protein IQGAP2 OS=Mus musculus GN=Iqgap2 PE=1 SV=2,67.3650793650794,112,218,110,1,1575,180.416,5.64,1.04,0.89,1.0,20.87,4.21,5.68,,112,0,0.0,Green,434.588676427938
False,IsMasterProtein,Q62261,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2",60.7278882776132,132,218,128,1,2363,274.052,5.58,1.04,0.93,1.05,21.5,4.44,8.93,,132,0,0.0,Green,417.709691344272
False,IsMasterProtein,P01027,Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3,70.7155742633794,110,203,107,1,1663,186.366,6.73,1.03,0.9,0.96,20.48,4.95,5.09,,110,0,0.0,Green,414.464555071502
False,IsMasterProtein,Q5SX40,Myosin-1 OS=Mus musculus GN=Myh1 PE=1 SV=1,57.826982492276,123,214,114,1,1942,223.203,5.76,0.05,0.98,0.13,57.96,2.63,72.46,,123,0,0.0,Green,412.648982093652
False,IsMasterProtein,Q5SWU9-2,Isoform 2 of Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca,54.0495174150231,117,177,113,1,2383,269.786,6.51,1.01,0.9,0.86,30.32,7.92,7.73,,117,0,0.0,Green,379.333178952763
False,IsMasterProtein,Q3V117,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1,67.0299727520436,76,198,75,1,1101,120.718,7.44,1.0,0.92,0.87,36.92,7.3,13.92,,76,0,0.0,Green,358.683357485737
False,IsMasterProtein,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",80.0786369593709,67,253,66,1,763,82.617,9.14,1.02,0.9,1.06,18.86,9.18,14.42,,67,0,0.0,Green,352.264662595378
False,IsMasterProtein,Q8CC88,von Willebrand factor A domain-containing protein 8 OS=Mus musculus GN=Vwa8 PE=1 SV=2,48.5564304461942,85,144,84,1,1905,213.287,6.6,1.05,0.92,1.01,15.75,7.16,5.27,,85,0,0.0,Green,349.633797155616
False,IsMasterProtein,Q9DBM2,Peroxisomal bifunctional enzyme OS=Mus musculus GN=Ehhadh PE=1 SV=4,85.0974930362117,60,160,60,1,718,78.252,9.13,1.0,0.89,1.04,29.35,8.93,8.2,,60,0,0.0,Green,348.597632287409
False,IsMasterProtein,P57780,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1,75.6578947368421,69,208,69,1,912,104.911,5.41,1.06,0.92,1.04,21.25,4.54,4.02,,69,0,0.0,Green,345.779816454904
False,IsMasterProtein,Q99PL5,Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=1 SV=2,71.5264797507788,92,167,92,1,1605,172.776,9.33,1.18,0.92,0.82,30.49,4.71,9.09,,92,0,0.0,Green,344.949976508502
False,IsMasterProtein,P63038,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1",87.434554973822,62,408,60,1,573,60.917,6.18,1.07,0.94,1.1,17.79,3.72,7.12,,62,0,0.0,Green,343.352720071778
False,IsMasterProtein,Q9DBT9,"Dimethylglycine dehydrogenase, mitochondrial OS=Mus musculus GN=Dmgdh PE=1 SV=1",86.8814729574223,71,275,70,1,869,97.194,7.88,0.96,0.88,0.97,22.57,8.64,5.47,,71,0,0.0,Green,337.728825095259
False,IsMasterProtein,Q3TWI2,Sarcosine dehydrogenase OS=Mus musculus GN=Sardh PE=2 SV=1,85.2013057671382,63,401,63,1,919,101.618,6.74,1.05,0.86,0.87,20.7,7.53,4.52,,63,0,0.0,Green,334.821267554215
False,IsMasterProtein,Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1,27.964796479648,105,164,102,1,4545,504.411,5.36,1.01,0.82,1.01,27.51,16.52,13.02,,105,0,0.0,Green,330.707121112076
False,IsMasterProtein,Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4",77.8609625668449,75,229,73,1,935,101.136,7.14,1.04,0.86,1.06,20.05,4.67,5.72,,75,0,0.0,Green,328.371613359182
False,IsMasterProtein,Q01853,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4,76.7990074441687,68,195,64,1,806,89.266,5.26,1.06,0.9,1.03,20.44,9.07,6.17,,68,0,0.0,Green,322.919971103321
False,IsMasterProtein,E9Q414,Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1,26.5704772475028,109,191,102,1,4505,509.113,6.81,1.07,0.9,0.85,26.62,10.75,6.52,,109,0,0.0,Green,322.326039986683
False,IsMasterProtein,Q68FG2,Protein Sptbn2 OS=Mus musculus GN=Sptbn2 PE=1 SV=1,47.0686767169179,93,143,92,1,2388,270.756,5.86,1.09,0.9,0.97,21.14,6.3,4.97,,93,0,0.0,Green,320.155308047795
False,IsMasterProtein,Q8VDJ3,Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1,69.4006309148265,91,203,86,1,1268,141.655,6.87,1.13,0.92,1.02,20.68,6.51,7.31,,91,0,0.0,Green,319.134451575112
False,IsMasterProtein,P11499,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3,76.5193370165746,70,450,66,1,724,83.229,5.03,1.12,0.94,1.0,23.28,7.3,5.85,,70,0,0.0,Green,316.871384190611
False,IsMasterProtein,Q9ET01,"Glycogen phosphorylase, liver form OS=Mus musculus GN=Pygl PE=1 SV=4",77.0588235294118,76,263,75,1,850,97.401,7.09,0.96,0.82,0.96,21.48,6.88,6.88,,76,0,0.0,Green,314.265455950303
False,IsMasterProtein,Q3UEQ9,Aminoadipate-semialdehyde synthase OS=Mus musculus GN=Aass PE=2 SV=1,73.4341252699784,66,164,63,1,926,102.909,6.87,0.98,0.89,0.99,21.65,5.22,8.8,,66,0,0.0,Green,308.146294850637
False,IsMasterProtein,P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2",86.0113421550095,41,392,38,1,529,56.265,5.34,1.03,0.88,1.0,22.02,5.54,4.91,,41,0,0.0,Green,306.093116092576
False,IsMasterProtein,Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2",63.2183908045977,86,153,85,1,1392,156.516,6.83,1.05,0.88,0.94,19.75,9.86,8.92,,86,0,0.0,Green,305.598762212636
False,IsMasterProtein,Q546G4,Albumin 1 OS=Mus musculus GN=Alb PE=2 SV=1,88.9802631578947,67,479,66,1,608,68.648,6.07,1.13,0.95,0.94,21.57,4.01,10.4,,67,0,0.0,Green,302.509544798986
False,IsMasterProtein,Q3U2G2,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1,73.2779097387173,65,118,65,1,842,94.149,5.21,1.07,0.91,1.03,18.75,5.79,7.44,,65,0,0.0,Green,297.86021099238
False,IsMasterProtein,Q61838,Alpha-2-macroglobulin OS=Mus musculus GN=A2m PE=1 SV=3,60.6688963210702,76,168,73,1,1495,165.748,6.68,0.84,0.83,1.02,17.77,9.12,6.5,,76,0,0.0,Green,296.516099584896
False,IsMasterProtein,P58252,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2,75.1748251748252,74,221,73,1,858,95.253,6.83,1.1,0.92,0.97,20.24,8.17,10.14,,74,0,0.0,Green,296.505126060338
False,IsMasterProtein,Q64727,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4,66.2288930581613,68,124,68,1,1066,116.644,6.0,0.95,0.82,1.16,25.47,5.19,16.54,,68,0,0.0,Green,286.619153347159
False,IsMasterProtein,Q3UAD6,"Heat shock protein 90kDa beta (Grp94), member 1 OS=Mus musculus GN=Hsp90b1 PE=2 SV=1",70.9476309226933,77,269,77,1,802,92.418,4.82,1.14,0.91,1.1,18.74,5.89,6.04,,77,0,0.0,Green,285.468845314686
False,IsMasterProtein,E9Q035,Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1,64.0081799591002,80,231,80,1,978,107.727,7.77,1.06,0.93,0.89,21.44,9.1,12.62,,80,0,0.0,Green,283.946610842402
False,IsMasterProtein,Q99KI0,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1",73.974358974359,64,192,63,1,780,85.41,7.93,1.01,0.94,0.99,17.38,6.34,8.16,,64,0,0.0,Green,283.435484358963
False,IsMasterProtein,Q8VC30,Triokinase/FMN cyclase OS=Mus musculus GN=Tkfc PE=1 SV=1,83.9100346020761,38,158,38,1,578,59.653,6.92,1.05,0.9,0.99,24.7,5.72,7.0,,38,0,0.0,Green,281.873132449862
False,IsMasterProtein,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3",94.2065491183879,44,324,44,1,397,41.803,8.09,0.95,0.86,1.16,27.24,4.46,9.33,,44,0,0.0,Green,281.866034868845
False,IsMasterProtein,E9Q616,Protein Ahnak OS=Mus musculus GN=Ahnak PE=1 SV=1,45.2086280056577,105,141,105,1,5656,603.866,6.3,0.9,0.81,0.99,33.31,6.08,12.12,,105,0,0.0,Green,281.516069449234
False,IsMasterProtein,Q8CHR6,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Mus musculus GN=Dpyd PE=1 SV=1,65.0731707317073,61,124,59,1,1025,111.181,7.27,0.91,0.86,1.25,24.24,6.28,10.93,,61,0,0.0,Green,279.995633271886
False,IsMasterProtein,Q8CGC7,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4,55.5555555555556,82,129,82,1,1512,169.972,7.66,1.05,0.9,1.06,21.0,6.47,5.72,,82,0,0.0,Green,279.899093151189
False,IsMasterProtein,Q9R0H0,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5,88.1996974281392,55,201,55,1,661,74.601,8.48,1.01,0.88,0.95,24.03,9.35,11.3,,55,0,0.0,Green,279.864950762227
False,IsMasterProtein,E9PZ16,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1,27.6294775268081,79,101,78,1,4383,469.486,6.47,1.02,0.88,0.99,32.96,9.44,6.28,,79,0,0.0,Green,279.835113125796
False,IsMasterProtein,A0A087WSN6,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=1,50.0435540069686,75,105,74,1,2296,252.853,6.07,1.01,0.89,1.04,25.0,10.07,12.65,,75,0,0.0,Green,276.607999011513
False,IsMasterProtein,B9EHN0,"Ubiquitin-activating enzyme E1, Chr X OS=Mus musculus GN=Uba1 PE=2 SV=1",68.1474480151229,59,123,56,1,1058,117.734,5.66,1.0,0.88,1.03,21.85,11.9,11.74,,59,0,0.0,Green,276.184583514083
False,IsMasterProtein,Q8BTM8,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5,36.5319229316207,74,104,73,1,2647,281.046,6.04,0.92,0.79,0.9,31.05,14.64,11.84,,74,0,0.0,Green,275.975450530883
False,IsMasterProtein,P38647,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3",68.9248895434462,56,195,55,1,679,73.416,6.07,1.03,0.87,1.02,18.52,5.49,7.48,,56,0,0.0,Green,275.728476967028
False,IsMasterProtein,O08601-2,Isoform 2 of Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp,60.3960396039604,59,124,59,1,909,100.687,7.61,1.13,0.92,0.94,23.04,8.74,6.78,,59,0,0.0,Green,264.527707439861
False,IsMasterProteinCandidate,O08601,Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp PE=1 SV=2,61.4093959731544,59,124,59,1,894,99.037,7.62,1.13,0.92,0.94,23.04,8.74,6.78,,59,0,0.0,Green,264.527707439861
False,IsMasterProtein,P16460,Argininosuccinate synthase OS=Mus musculus GN=Ass1 PE=1 SV=1,92.4757281553398,57,524,57,1,412,46.555,8.22,0.96,0.87,0.95,22.06,7.65,5.88,,57,0,0.0,Green,262.092720550223
False,IsMasterProtein,Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1",81.3084112149533,49,198,49,1,535,57.879,8.07,0.99,0.86,1.09,18.55,5.54,9.67,,49,0,0.0,Green,261.638819941068
False,IsMasterProtein,Q3UHQ5,Putative uncharacterized protein OS=Mus musculus GN=Gcn1l1 PE=2 SV=1,39.3485585922875,87,118,87,1,2671,292.805,7.27,1.15,0.92,1.01,22.59,14.5,10.66,,87,0,0.0,Green,260.572530487225
False,IsMasterProtein,P08032,"Spectrin alpha chain, erythrocytic 1 OS=Mus musculus GN=Spta1 PE=1 SV=3",49.8964803312629,96,128,93,1,2415,279.693,5.03,0.89,0.97,0.78,24.0,8.58,9.76,,96,0,0.0,Green,260.402151468674
False,IsMasterProtein,Q3TEK2,Putative uncharacterized protein OS=Mus musculus GN=Hspa8 PE=2 SV=1,68.4210526315789,51,289,51,1,646,70.813,5.41,1.14,0.92,0.97,20.46,3.42,9.29,,51,0,0.0,Green,260.092344008635
False,IsMasterProtein,Q3UGX2,Spectrin beta 1 OS=Mus musculus GN=Sptb PE=1 SV=1,42.8080721339631,84,118,83,1,2329,267.925,5.49,0.83,0.99,0.73,23.7,13.27,8.13,,84,0,0.0,Green,256.731229156916
False,IsMasterProtein,Q3TF14,Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=2 SV=1,93.9814814814815,40,451,38,1,432,47.657,6.54,1.03,0.85,0.88,23.01,21.57,22.21,,40,0,0.0,Green,255.11863243068
False,IsMasterProtein,P28271,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3,75.8155230596175,68,165,67,1,889,98.063,7.5,0.98,0.84,0.99,21.3,13.37,7.68,,68,0,0.0,Green,253.512763086609
False,IsMasterProtein,Q544B1,"Aldehyde dehydrogenase 2, mitochondrial, isoform CRA_b OS=Mus musculus GN=Aldh2 PE=2 SV=1",83.6223506743738,45,241,44,1,519,56.502,7.62,0.97,0.84,1.09,22.05,9.7,9.41,,45,0,0.0,Green,251.036798215196
False,IsMasterProtein,E9Q6R7,Protein Utrn OS=Mus musculus GN=Utrn PE=1 SV=1,29.1545189504373,86,114,83,1,3430,392.461,5.33,0.99,0.88,1.06,22.02,6.68,10.89,,86,0,0.0,Green,249.294970191757
False,IsMasterProtein,F8WIT2,Annexin OS=Mus musculus GN=Anxa6 PE=1 SV=1,81.5592203898051,64,171,63,1,667,75.241,5.55,0.93,0.84,1.03,23.24,5.16,6.18,,64,0,0.0,Green,247.946892368397
False,IsMasterProtein,P24549,Retinal dehydrogenase 1 OS=Mus musculus GN=Aldh1a1 PE=1 SV=5,79.6407185628742,51,342,50,1,501,54.433,7.8,1.0,0.9,0.95,22.12,4.5,4.96,,51,0,0.0,Green,247.282894687711
False,IsMasterProtein,Q3UGC8,"Propionyl-Coenzyme A carboxylase, alpha polypeptide, isoform CRA_b OS=Mus musculus GN=Pcca PE=2 SV=1",73.4806629834254,53,129,51,1,724,79.871,7.25,1.01,0.92,1.02,18.59,5.52,5.69,,53,0,0.0,Green,245.841744852895
False,IsMasterProtein,P16858,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2,77.1771771771772,31,373,31,1,333,35.787,8.25,1.03,0.91,0.91,20.47,5.84,6.12,,31,0,0.0,Green,244.599600225654
False,IsMasterProtein,Q5FW97,"Enolase 1, alpha non-neuron OS=Mus musculus GN=EG433182 PE=2 SV=1",90.7834101382488,45,390,42,1,434,47.111,6.8,1.04,0.89,0.99,20.73,3.99,4.54,,45,0,0.0,Green,243.884159860795
False,IsMasterProtein,O88428,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Mus musculus GN=Papss2 PE=1 SV=2,82.7697262479871,48,122,47,1,621,70.306,7.58,1.1,0.9,0.96,25.46,6.6,12.75,,48,0,0.0,Green,243.235125657632
False,IsMasterProtein,Q3UQ71,Putative uncharacterized protein OS=Mus musculus GN=Ephx2 PE=2 SV=1,81.9494584837545,41,126,40,1,554,62.503,6.33,0.94,0.89,1.02,26.05,7.14,10.92,,41,0,0.0,Green,241.08671717267
False,IsMasterProtein,P54869,"Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Mus musculus GN=Hmgcs2 PE=1 SV=2",83.6614173228346,47,330,47,1,508,56.786,8.41,0.96,0.89,1.05,21.53,5.02,4.23,,47,0,0.0,Green,238.641582716644
False,IsMasterProtein,P97807-2,"Isoform Cytoplasmic of Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh",84.3683083511777,37,146,37,1,467,50.021,7.94,1.08,0.91,1.04,27.89,6.81,30.67,,37,0,0.0,Green,238.497401669398
False,IsMasterProtein,P17563,Selenium-binding protein 1 OS=Mus musculus GN=Selenbp1 PE=1 SV=2,91.5254237288136,39,213,39,1,472,52.48,6.29,0.98,0.83,1.08,22.92,10.88,8.95,,39,0,0.0,Green,238.253319365161
False,IsMasterProtein,Q8BH00,Aldehyde dehydrogenase family 8 member A1 OS=Mus musculus GN=Aldh8a1 PE=1 SV=1,83.7782340862423,47,119,47,1,487,53.629,7.55,0.99,0.8,1.04,23.18,19.52,16.06,,47,0,0.0,Green,238.209017739169
False,IsMasterProtein,Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",76.8535262206148,51,435,51,1,553,59.716,9.19,1.01,0.87,0.98,16.46,4.03,5.27,,51,0,0.0,Green,237.682840402682
False,IsMasterProteinCandidate,D3YZ54,2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2,87.0036101083032,41,150,41,1,554,60.957,6.18,0.93,0.8,1.01,23.95,17.15,18.51,,41,0,0.0,Green,237.394688903591
False,IsMasterProtein,Q9QXE0,2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2,82.960413080895,41,150,41,1,581,63.619,6.27,0.93,0.8,1.01,23.95,17.15,18.51,,41,0,0.0,Green,237.394688903591
False,IsMasterProtein,Q9D0F9,Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4,88.4341637010676,50,145,50,1,562,61.38,6.57,0.97,0.85,0.99,18.48,6.09,8.86,,50,0,0.0,Green,237.197000340823
False,IsMasterProteinCandidate,Q8C6E3,Catalase OS=Mus musculus GN=Cat PE=2 SV=1,82.5426944971537,52,317,52,1,527,59.798,7.9,1.0,0.89,0.99,18.69,4.79,6.53,,52,0,0.0,Green,235.948285689923
False,IsMasterProtein,P24270,Catalase OS=Mus musculus GN=Cat PE=1 SV=4,82.5426944971537,52,317,52,1,527,59.758,7.88,1.0,0.89,0.99,18.69,4.79,6.53,,52,0,0.0,Green,235.948285689923
False,IsMasterProtein,Q78PY7,Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1,77.4725274725275,64,151,64,1,910,102.025,7.43,1.06,0.9,0.99,19.31,6.11,6.19,,64,0,0.0,Green,235.809790224476
False,IsMasterProtein,Q91XD4,Formimidoyltransferase-cyclodeaminase OS=Mus musculus GN=Ftcd PE=1 SV=1,85.2125693160813,41,113,41,1,541,58.902,6.11,1.0,0.85,1.11,20.1,7.53,11.75,,41,0,0.0,Green,234.463041689639
False,IsMasterProtein,P26443,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1",75.8064516129032,53,408,51,1,558,61.298,8.0,1.09,0.9,1.03,19.78,5.65,7.97,,53,0,0.0,Green,231.934701777136
False,IsMasterProtein,P11679,"Keratin, type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4",91.2244897959184,57,179,56,1,490,54.531,5.82,0.99,0.82,1.21,25.79,6.94,8.72,,57,0,0.0,Green,231.481855636272
False,IsMasterProteinCandidate,Q9Z2V4,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Mus musculus GN=Pck1 PE=1 SV=1",84.887459807074,46,117,46,1,622,69.31,6.6,1.12,0.93,1.13,25.72,8.12,13.65,,46,0,0.0,Green,231.289071114445
False,IsMasterProtein,Q8BSX3,Putative uncharacterized protein OS=Mus musculus GN=Pck1 PE=2 SV=1,84.887459807074,46,117,46,1,622,69.333,6.65,1.12,0.93,1.13,25.72,8.12,13.65,,46,0,0.0,Green,231.289071114445
False,IsMasterProtein,P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3",78.8109756097561,54,147,51,1,656,70.831,8.75,1.02,0.88,1.01,19.04,4.18,9.63,,54,0,0.0,Green,229.390480674523
False,IsMasterProtein,G3X982,Aldehyde oxidase 3 OS=Mus musculus GN=Aox3 PE=1 SV=1,58.2771535580524,62,121,59,1,1335,146.807,6.46,1.06,0.84,1.18,27.46,7.7,18.06,,62,0,0.0,Green,226.011775751866
False,IsMasterProtein,Q9QXX4,Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus GN=Slc25a13 PE=1 SV=1,76.4792899408284,46,103,44,1,676,74.42,8.6,1.06,0.89,0.78,36.67,8.13,11.94,,46,0,0.0,Green,226.010801368504
False,IsMasterProtein,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1,51.7106549364614,52,117,51,1,1023,112.91,5.45,1.09,0.94,0.86,32.69,21.58,6.52,,52,0,0.0,Green,225.202883973531
False,IsMasterProtein,P08003,Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3,65.5172413793103,55,131,54,1,638,71.938,5.31,1.14,0.92,1.12,18.94,5.43,3.84,,55,0,0.0,Green,224.360089124066
False,IsMasterProtein,O35490,Betaine--homocysteine S-methyltransferase 1 OS=Mus musculus GN=Bhmt PE=1 SV=1,93.6117936117936,43,563,42,1,407,44.992,7.9,1.07,0.88,0.83,22.64,5.17,8.35,,43,0,0.0,Green,222.603523297124
False,IsMasterProtein,P20029,78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3,64.2748091603054,55,215,55,1,655,72.377,5.16,1.14,0.94,0.99,19.01,5.34,11.83,,55,0,0.0,Green,220.816733137177
False,IsMasterProtein,P06801,NADP-dependent malic enzyme OS=Mus musculus GN=Me1 PE=1 SV=2,84.7902097902098,43,122,42,1,572,63.913,7.44,0.94,0.87,0.86,32.58,10.9,15.27,,43,0,0.0,Green,220.346185822476
False,IsMasterProtein,P05784,"Keratin, type I cytoskeletal 18 OS=Mus musculus GN=Krt18 PE=1 SV=5",89.8345153664303,48,193,48,1,423,47.509,5.33,0.99,0.82,1.31,27.31,9.0,10.76,,48,0,0.0,Green,219.602673962357
False,IsMasterProtein,Q9JIF7,Coatomer subunit beta OS=Mus musculus GN=Copb1 PE=1 SV=1,54.6694648478489,55,108,53,1,953,106.998,6.0,1.1,0.88,0.99,22.84,6.55,6.57,,55,0,0.0,Green,219.284817520334
False,IsMasterProteinCandidate,Q5HZJ8,Isocitrate dehydrogenase [NADP] OS=Mus musculus GN=Idh1 PE=2 SV=1,92.512077294686,50,194,50,1,414,46.644,7.17,1.03,0.87,1.06,22.54,10.06,5.93,,50,0,0.0,Green,217.58071008322
False,IsMasterProteinCandidate,O88844,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus GN=Idh1 PE=1 SV=2,92.512077294686,50,194,50,1,414,46.644,7.17,1.03,0.87,1.06,22.54,10.06,5.93,,50,0,0.0,Green,217.58071008322
