Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Ratios: (NASA GC) / (Pool),Ratios: (BA Pool) / (Pool),Ratios: (GC Pool) / (Pool),Ratio Standard Errors [%]: (NASA GC) / (Pool),Ratio Standard Errors [%]: (BA Pool) / (Pool),Ratio Standard Errors [%]: (GC Pool) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
False,IsMasterProtein,Q80X90,Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3,61.2221368178324,123,218,120,1,2602,277.651,5.71,0.77,0.74,0.6,16.95,4.59,6.65,,123,0,0.0,Green,551.771751159328
False,IsMasterProtein,F8VPN4,Protein Agl OS=Mus musculus GN=Agl PE=1 SV=1,77.023498694517,109,296,107,1,1532,174.175,6.74,0.84,0.73,0.65,16.39,6.83,6.6,,109,0,0.0,Green,527.217672887804
False,IsMasterProtein,Q68FD5,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,70.3880597014925,114,314,112,1,1675,191.435,5.69,0.79,0.71,0.57,22.65,7.33,8.49,,114,0,0.0,Green,471.716875105184
False,IsMasterProtein,G5E8R3,Pyruvate carboxylase OS=Mus musculus GN=Pcx PE=1 SV=1,82.937181663837,97,501,94,1,1178,129.618,6.71,0.75,0.71,0.64,15.75,7.04,3.3,,97,0,0.0,Green,454.56168570607
False,IsMasterProtein,P01027,Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3,71.4972940469032,116,255,113,1,1663,186.366,6.73,0.83,0.72,0.59,16.0,3.6,5.81,,116,0,0.0,Green,437.732080346535
False,IsMasterProtein,Q3UQ44,Ras GTPase-activating-like protein IQGAP2 OS=Mus musculus GN=Iqgap2 PE=1 SV=2,71.9365079365079,108,218,107,1,1575,180.416,5.64,0.8,0.77,0.64,19.12,4.1,9.03,,108,0,0.0,Green,426.601661806549
False,IsMasterProtein,Q62261,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2",54.6762589928058,122,210,119,1,2363,274.052,5.58,0.8,0.73,0.58,18.87,3.23,6.63,,122,0,0.0,Green,413.834307322209
False,IsMasterProtein,Q5SWU9-2,Isoform 2 of Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca,52.4968527066723,114,192,110,1,2383,269.786,6.51,0.81,0.74,0.53,10.29,6.74,12.18,,114,0,0.0,Green,412.786153547042
False,IsMasterProtein,P57780,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1,76.2061403508772,72,255,72,1,912,104.911,5.41,0.77,0.7,0.61,23.6,12.03,13.21,,72,0,0.0,Green,384.22559909516
False,IsMasterProtein,Q3V117,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1,68.3015440508628,76,244,75,1,1101,120.718,7.44,0.77,0.71,0.55,14.1,8.77,5.98,,76,0,0.0,Green,380.76677606449
False,IsMasterProtein,Q8CC88,von Willebrand factor A domain-containing protein 8 OS=Mus musculus GN=Vwa8 PE=1 SV=2,53.1758530183727,95,165,93,1,1905,213.287,6.6,0.73,0.7,0.58,15.71,8.55,11.0,,95,0,0.0,Green,380.221788593534
False,IsMasterProtein,E9Q414,Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1,27.9023307436182,112,208,104,1,4505,509.113,6.81,0.79,0.73,0.52,21.41,2.62,5.99,,112,0,0.0,Green,366.248155960411
False,IsMasterProtein,Q9DBT9,"Dimethylglycine dehydrogenase, mitochondrial OS=Mus musculus GN=Dmgdh PE=1 SV=1",85.5005753739931,66,302,65,1,869,97.194,7.88,0.78,0.76,0.57,13.32,8.47,9.46,,66,0,0.0,Green,364.437141572365
False,IsMasterProtein,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",77.1952817824377,60,282,60,1,763,82.617,9.14,0.75,0.72,0.65,13.04,7.57,7.91,,60,0,0.0,Green,362.404972856239
False,IsMasterProtein,Q3TWI2,Sarcosine dehydrogenase OS=Mus musculus GN=Sardh PE=2 SV=1,83.2426550598477,63,483,62,1,919,101.618,6.74,0.83,0.73,0.49,14.2,4.98,5.99,,63,0,0.0,Green,356.837637896037
False,IsMasterProtein,Q01853,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4,76.9230769230769,64,230,62,1,806,89.266,5.26,0.79,0.71,0.62,15.85,5.89,12.89,,64,0,0.0,Green,351.995032321623
False,IsMasterProtein,Q9ET01,"Glycogen phosphorylase, liver form OS=Mus musculus GN=Pygl PE=1 SV=4",78.1176470588235,78,357,76,1,850,97.401,7.09,0.86,0.76,0.57,10.57,5.8,4.51,,78,0,0.0,Green,346.091835561065
False,IsMasterProtein,P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2",85.4442344045369,38,420,36,1,529,56.265,5.34,0.77,0.71,0.62,11.53,9.86,6.7,,38,0,0.0,Green,345.31783331376
False,IsMasterProtein,Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1,25.984598459846,109,186,105,1,4545,504.411,5.36,0.74,0.71,0.61,19.55,9.97,8.54,,109,0,0.0,Green,339.718191344577
False,IsMasterProtein,Q68FG2,Protein Sptbn2 OS=Mus musculus GN=Sptbn2 PE=1 SV=1,49.036850921273,92,167,91,1,2388,270.756,5.86,0.8,0.72,0.6,20.41,5.24,4.03,,92,0,0.0,Green,335.125548076249
False,IsMasterProtein,Q546G4,Albumin 1 OS=Mus musculus GN=Alb PE=2 SV=1,91.2828947368421,72,537,71,1,608,68.648,6.07,0.93,0.63,0.55,14.79,15.2,8.23,,72,0,0.0,Green,332.617964944418
False,IsMasterProtein,P58252,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2,78.5547785547786,73,257,72,1,858,95.253,6.83,0.79,0.69,0.6,18.69,5.91,4.92,,73,0,0.0,Green,330.989602902972
False,IsMasterProtein,Q9DBM2,Peroxisomal bifunctional enzyme OS=Mus musculus GN=Ehhadh PE=1 SV=4,85.6545961002786,60,175,60,1,718,78.252,9.13,0.84,0.78,0.59,28.24,4.42,8.14,,60,0,0.0,Green,326.244855350318
False,IsMasterProtein,P63038,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1",85.8638743455497,60,476,59,1,573,60.917,6.18,0.76,0.7,0.64,16.37,6.04,9.3,,60,0,0.0,Green,324.4316381367
False,IsMasterProtein,Q8VDJ3,Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1,69.2429022082019,88,218,85,1,1268,141.655,6.87,0.8,0.74,0.63,20.04,5.19,5.01,,88,0,0.0,Green,324.142247906831
False,IsMasterProtein,Q61838,Alpha-2-macroglobulin OS=Mus musculus GN=A2m PE=1 SV=3,64.8160535117057,78,199,76,1,1495,165.748,6.68,0.88,0.77,0.57,13.83,9.24,7.62,,78,0,0.0,Green,321.946185382729
False,IsMasterProtein,Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2",66.0201149425287,86,174,86,1,1392,156.516,6.83,0.8,0.69,0.58,17.49,12.71,5.66,,86,0,0.0,Green,320.494355208956
False,IsMasterProtein,Q3UEQ9,Aminoadipate-semialdehyde synthase OS=Mus musculus GN=Aass PE=2 SV=1,75.0539956803456,69,221,68,1,926,102.909,6.87,0.84,0.78,0.61,23.87,3.88,14.3,,69,0,0.0,Green,318.427027982331
False,IsMasterProtein,Q99PL5,Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=1 SV=2,68.9719626168224,88,178,88,1,1605,172.776,9.33,0.74,0.66,0.53,31.49,15.74,8.9,,88,0,0.0,Green,317.930538591966
False,IsMasterProtein,E9Q035,Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1,67.0756646216769,76,244,76,1,978,107.727,7.77,0.84,0.73,0.55,13.93,8.45,8.0,,76,0,0.0,Green,315.903339826561
False,IsMasterProtein,Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4",82.7807486631016,78,264,75,1,935,101.136,7.14,0.84,0.75,0.61,15.6,6.31,5.03,,78,0,0.0,Green,315.859599539016
False,IsMasterProtein,P11499,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3,74.171270718232,68,423,63,1,724,83.229,5.03,0.73,0.67,0.58,16.74,6.84,8.97,,68,0,0.0,Green,313.688413091797
False,IsMasterProtein,E9Q616,Protein Ahnak OS=Mus musculus GN=Ahnak PE=1 SV=1,54.3140028288543,117,174,117,1,5656,603.866,6.3,0.8,0.74,0.62,25.59,3.22,6.27,,117,0,0.0,Green,312.7813937337
False,IsMasterProtein,B2RX08,Spectrin beta 1 OS=Mus musculus GN=Sptb PE=2 SV=1,44.9978531558609,83,131,81,1,2329,267.939,5.49,0.85,0.74,0.45,22.21,13.45,3.12,,83,0,0.0,Green,308.941291994807
False,IsMasterProteinCandidate,Q3UGY4,Putative uncharacterized protein OS=Mus musculus GN=Sptb PE=2 SV=1,44.9978531558609,83,131,81,1,2329,267.925,5.48,0.85,0.74,0.45,22.21,13.45,3.12,,83,0,0.0,Green,308.941291994807
False,IsMasterProtein,Q8BTM8,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5,44.1632036267473,78,124,77,1,2647,281.046,6.04,0.78,0.78,0.58,27.97,8.28,7.55,,78,0,0.0,Green,307.73275906735
False,IsMasterProtein,Q3UAD6,"Heat shock protein 90kDa beta (Grp94), member 1 OS=Mus musculus GN=Hsp90b1 PE=2 SV=1",67.8304239401496,76,279,76,1,802,92.418,4.82,0.79,0.74,0.64,25.41,4.86,9.94,,76,0,0.0,Green,305.209330176129
False,IsMasterProtein,Q8CGC7,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4,59.0608465608466,79,143,79,1,1512,169.972,7.66,0.78,0.73,0.61,20.13,3.41,8.84,,79,0,0.0,Green,305.116250922768
False,IsMasterProtein,Q8CHR6,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Mus musculus GN=Dpyd PE=1 SV=1,64.0975609756098,60,141,57,1,1025,111.181,7.27,0.75,0.72,0.76,24.33,10.23,8.58,,60,0,0.0,Green,297.418893244458
False,IsMasterProtein,P08032,"Spectrin alpha chain, erythrocytic 1 OS=Mus musculus GN=Spta1 PE=1 SV=3",49.4409937888199,93,161,90,1,2415,279.693,5.03,0.87,0.76,0.46,26.43,6.58,12.21,,93,0,0.0,Green,295.917553716749
False,IsMasterProtein,Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1",82.0560747663551,46,216,46,1,535,57.879,8.07,0.8,0.74,0.67,15.19,10.11,6.58,,46,0,0.0,Green,289.625162056875
False,IsMasterProtein,E9Q1W3,Protein Neb OS=Mus musculus GN=Neb PE=1 SV=1,23.9093959731544,115,137,114,1,7152,828.141,9.07,0.95,0.65,0.33,161.75,12.26,14.64,,115,0,0.0,Green,288.901184342865
False,IsMasterProtein,P38647,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3",74.8159057437408,62,244,61,1,679,73.416,6.07,0.77,0.73,0.62,17.25,9.98,7.59,,62,0,0.0,Green,288.684149642728
False,IsMasterProtein,A0A087WSN6,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=1,47.8658536585366,71,109,70,1,2296,252.853,6.07,0.82,0.71,0.62,18.71,6.78,13.34,,71,0,0.0,Green,287.607755051207
False,IsMasterProtein,Q8VC30,Triokinase/FMN cyclase OS=Mus musculus GN=Tkfc PE=1 SV=1,82.1799307958478,37,199,37,1,578,59.653,6.92,0.78,0.71,0.57,8.76,9.3,3.63,,37,0,0.0,Green,286.224677324872
False,IsMasterProtein,Q3UQ71,Putative uncharacterized protein OS=Mus musculus GN=Ephx2 PE=2 SV=1,77.0758122743682,40,148,39,1,554,62.503,6.33,0.79,0.74,0.61,14.36,9.43,8.82,,40,0,0.0,Green,285.720405491825
False,IsMasterProtein,Q91Z83,Myosin-7 OS=Mus musculus GN=Myh7 PE=1 SV=1,42.687338501292,81,154,76,1,1935,222.741,5.76,1.17,0.76,0.4,201.56,11.4,7.8,,81,0,0.0,Green,282.854284159622
False,IsMasterProtein,Q99KI0,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1",76.9230769230769,65,235,64,1,780,85.41,7.93,0.8,0.73,0.59,13.49,4.87,9.34,,65,0,0.0,Green,281.94761171306
False,IsMasterProtein,Q9R0H0,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5,88.1996974281392,58,237,58,1,661,74.601,8.48,0.81,0.73,0.58,22.15,10.82,8.87,,58,0,0.0,Green,279.240712631974
False,IsMasterProtein,O08601-2,Isoform 2 of Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp,65.016501650165,63,143,63,1,909,100.687,7.61,0.8,0.73,0.56,18.95,4.69,9.84,,63,0,0.0,Green,278.849572131184
False,IsMasterProteinCandidate,O08601,Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp PE=1 SV=2,66.1073825503356,63,143,63,1,894,99.037,7.62,0.8,0.73,0.56,18.95,4.69,9.84,,63,0,0.0,Green,278.849572131184
False,IsMasterProtein,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3",95.4659949622166,44,362,44,1,397,41.803,8.09,0.73,0.7,0.61,17.04,4.8,13.45,,44,0,0.0,Green,278.558594735991
False,IsMasterProtein,P24549,Retinal dehydrogenase 1 OS=Mus musculus GN=Aldh1a1 PE=1 SV=5,79.6407185628742,50,401,49,1,501,54.433,7.8,0.76,0.74,0.57,17.12,7.68,8.59,,50,0,0.0,Green,278.451895823442
False,IsMasterProtein,Q64727,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4,67.5422138836773,70,129,70,1,1066,116.644,6.0,0.78,0.72,0.63,16.9,5.94,8.11,,70,0,0.0,Green,272.970543770532
False,IsMasterProtein,Q5FW97,"Enolase 1, alpha non-neuron OS=Mus musculus GN=EG433182 PE=2 SV=1",90.7834101382488,48,483,45,1,434,47.111,6.8,0.8,0.74,0.61,12.51,8.01,5.6,,48,0,0.0,Green,272.555109123617
False,IsMasterProtein,P17563,Selenium-binding protein 1 OS=Mus musculus GN=Selenbp1 PE=1 SV=2,95.7627118644068,42,252,42,1,472,52.48,6.29,0.83,0.74,0.66,15.82,8.44,4.26,,42,0,0.0,Green,270.449699882623
False,IsMasterProtein,P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3",77.2865853658537,50,146,48,1,656,70.831,8.75,0.82,0.73,0.6,12.27,5.26,9.27,,50,0,0.0,Green,270.025048854491
False,IsMasterProtein,P28271,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3,76.3779527559055,74,188,73,1,889,98.063,7.5,0.79,0.74,0.61,12.83,3.11,5.66,,74,0,0.0,Green,269.000274774766
False,IsMasterProtein,Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",77.9385171790235,54,494,54,1,553,59.716,9.19,0.78,0.72,0.6,12.37,8.38,4.05,,54,0,0.0,Green,267.686835167534
False,IsMasterProtein,Q544B1,"Aldehyde dehydrogenase 2, mitochondrial, isoform CRA_b OS=Mus musculus GN=Aldh2 PE=2 SV=1",90.5587668593449,45,286,44,1,519,56.502,7.62,0.79,0.73,0.63,15.52,3.83,4.72,,45,0,0.0,Green,267.611638999161
False,IsMasterProtein,P16460,Argininosuccinate synthase OS=Mus musculus GN=Ass1 PE=1 SV=1,91.747572815534,55,689,55,1,412,46.555,8.22,0.77,0.71,0.56,28.96,6.33,8.86,,55,0,0.0,Green,266.043385138379
False,IsMasterProtein,Q66JR7,Pgm2 protein (Fragment) OS=Mus musculus GN=Pgm2 PE=2 SV=1,85.2542372881356,51,176,50,1,590,64.118,6.76,0.83,0.78,0.6,14.1,6.19,3.85,,51,0,0.0,Green,265.274415725046
False,IsMasterProteinCandidate,Q9D0F9,Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4,89.5017793594306,51,176,50,1,562,61.38,6.57,0.83,0.78,0.6,14.1,6.19,3.85,,51,0,0.0,Green,265.274415725046
False,IsMasterProteinCandidate,Q7TNU0,Pgm2 protein (Fragment) OS=Mus musculus GN=Pgm2 PE=2 SV=1,86.1301369863014,51,176,50,1,584,63.415,6.4,0.83,0.78,0.6,14.1,6.19,3.85,,51,0,0.0,Green,265.274415725046
False,IsMasterProtein,B9EHN0,"Ubiquitin-activating enzyme E1, Chr X OS=Mus musculus GN=Uba1 PE=2 SV=1",66.351606805293,57,147,56,1,1058,117.734,5.66,0.81,0.74,0.65,18.52,4.77,5.9,,57,0,0.0,Green,264.038867108035
False,IsMasterProtein,P26443,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1",74.5519713261649,50,428,50,1,558,61.298,8.0,0.75,0.72,0.62,14.72,7.53,6.94,,50,0,0.0,Green,263.622277837936
False,IsMasterProtein,P24270,Catalase OS=Mus musculus GN=Cat PE=1 SV=4,88.2352941176471,54,386,54,1,527,59.758,7.88,0.81,0.72,0.62,19.5,3.25,7.69,,54,0,0.0,Green,260.864782110119
False,IsMasterProtein,Q3U2G2,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1,68.4085510688836,64,136,64,1,842,94.149,5.21,0.8,0.74,0.61,14.31,8.33,8.08,,64,0,0.0,Green,260.052914492101
False,IsMasterProtein,E9PZ16,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1,27.8804471822952,77,115,76,1,4383,469.486,6.47,0.71,0.69,0.61,26.81,6.46,9.14,,77,0,0.0,Green,258.909623528325
False,IsMasterProtein,Q9QXX4,Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus GN=Slc25a13 PE=1 SV=1,81.508875739645,51,142,49,1,676,74.42,8.6,0.81,0.75,0.45,24.31,4.78,11.54,,51,0,0.0,Green,258.459109264414
False,IsMasterProtein,Q60597,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3",58.455522971652,53,120,51,1,1023,116.375,6.83,0.75,0.74,0.58,11.5,9.66,7.77,,53,0,0.0,Green,256.755611764245
False,IsMasterProtein,P63017,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1,70.5882352941177,53,272,53,1,646,70.827,5.52,0.8,0.71,0.6,16.73,7.23,8.75,,53,0,0.0,Green,253.198817982669
False,IsMasterProtein,Q8CIE6,Coatomer subunit alpha OS=Mus musculus GN=Copa PE=1 SV=2,57.843137254902,61,101,60,1,1224,138.344,7.65,0.8,0.75,0.52,25.02,8.48,9.94,,61,0,0.0,Green,252.747902941344
False,IsMasterProtein,P11679,"Keratin, type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4",90.6122448979592,58,216,58,1,490,54.531,5.82,0.75,0.69,0.69,21.85,6.94,9.27,,58,0,0.0,Green,251.582000155004
False,IsMasterProtein,Q8VCT4,Carboxylesterase 1D OS=Mus musculus GN=Ces1d PE=1 SV=1,73.4513274336283,46,231,46,1,565,61.749,6.61,0.86,0.78,0.59,14.48,2.84,4.34,,46,0,0.0,Green,250.228031388498
False,IsMasterProtein,O35490,Betaine--homocysteine S-methyltransferase 1 OS=Mus musculus GN=Bhmt PE=1 SV=1,94.3488943488943,49,532,47,1,407,44.992,7.9,0.8,0.69,0.51,13.56,5.77,7.37,,49,0,0.0,Green,248.632318600111
False,IsMasterProtein,Q91W43,"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Mus musculus GN=Gldc PE=1 SV=1",60.9756097560976,57,102,57,1,1025,113.195,7.56,0.82,0.73,0.62,20.0,5.36,6.46,,57,0,0.0,Green,247.012032232942
False,IsMasterProtein,F8WIT2,Annexin OS=Mus musculus GN=Anxa6 PE=1 SV=1,83.6581709145427,68,196,67,1,667,75.241,5.55,0.79,0.74,0.63,15.49,10.27,11.39,,68,0,0.0,Green,245.685918341909
False,IsMasterProtein,E9PWQ3,Protein Col6a3 OS=Mus musculus GN=Col6a3 PE=1 SV=2,25.0304506699147,64,94,63,1,3284,353.713,6.93,0.88,0.83,0.61,40.29,10.42,14.12,,64,0,0.0,Green,244.792223451397
False,IsMasterProtein,E9PVA8,Protein Gcn1l1 OS=Mus musculus GN=Gcn1l1 PE=1 SV=1,34.1070760014976,74,100,74,1,2671,292.834,7.36,0.73,0.64,0.61,20.22,13.87,14.38,,74,0,0.0,Green,244.075961242422
False,IsMasterProtein,Q3TF14,Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=2 SV=1,88.4259259259259,43,452,41,1,432,47.657,6.54,0.81,0.74,0.58,15.11,7.31,3.97,,43,0,0.0,Green,243.387595937058
False,IsMasterProtein,P28665,Murinoglobulin-1 OS=Mus musculus GN=Mug1 PE=1 SV=3,44.5121951219512,58,126,56,1,1476,165.193,6.42,0.74,0.72,0.7,22.84,7.44,10.18,,58,0,0.0,Green,242.515426932091
False,IsMasterProtein,Q3UZI3,Putative uncharacterized protein OS=Mus musculus GN=Snd1 PE=2 SV=1,69.6703296703297,58,139,58,1,910,102.024,7.69,0.76,0.72,0.63,21.08,5.35,6.22,,58,0,0.0,Green,242.057956723518
False,IsMasterProtein,E9Q6R7,Protein Utrn OS=Mus musculus GN=Utrn PE=1 SV=1,31.9241982507289,96,130,94,1,3430,392.461,5.33,0.78,0.73,0.65,16.11,6.59,7.57,,96,0,0.0,Green,240.469065117323
False,IsMasterProtein,G3X925,Pyruvate kinase OS=Mus musculus GN=Pklr PE=1 SV=1,81.3588850174216,48,157,48,1,574,62.189,7.09,0.76,0.73,0.66,18.01,13.82,11.5,,48,0,0.0,Green,240.068384257787
False,IsMasterProteinCandidate,E9Q509,Pyruvate kinase OS=Mus musculus GN=Pklr PE=1 SV=1,86.0036832412523,48,157,48,1,543,58.784,6.92,0.76,0.73,0.66,18.01,13.82,11.5,,48,0,0.0,Green,240.068384257787
False,IsMasterProteinCandidate,Q3UEI4,Pyruvate kinase (Fragment) OS=Mus musculus GN=Pklr PE=2 SV=1,85.5311355311355,48,157,48,1,546,59.015,6.92,0.76,0.73,0.66,18.01,13.82,11.5,,48,0,0.0,Green,240.068384257787
False,IsMasterProteinCandidate,D3YZ54,2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2,85.7400722021661,41,171,41,1,554,60.957,6.18,0.81,0.73,0.6,13.52,10.84,14.36,,41,0,0.0,Green,239.602217755819
False,IsMasterProtein,Q9QXE0,2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2,81.7555938037866,41,171,41,1,581,63.619,6.27,0.81,0.73,0.6,13.52,10.84,14.36,,41,0,0.0,Green,239.602217755819
False,IsMasterProtein,Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1",76.355421686747,45,194,44,1,664,72.539,7.37,0.81,0.71,0.65,12.81,11.24,8.73,,45,0,0.0,Green,239.108805459896
False,IsMasterProtein,O88428,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Mus musculus GN=Papss2 PE=1 SV=2,85.6682769726248,50,127,48,1,621,70.306,7.58,0.81,0.72,0.56,15.44,14.6,9.21,,50,0,0.0,Green,238.936739904955
False,IsMasterProtein,Q9Z2V4,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Mus musculus GN=Pck1 PE=1 SV=1",84.5659163987138,49,126,49,1,622,69.31,6.6,0.78,0.69,0.67,52.05,9.87,9.71,,49,0,0.0,Green,237.835975025135
False,IsMasterProtein,G3UW82,"MCG140437, isoform CRA_d OS=Mus musculus GN=Myh2 PE=1 SV=1",23.9443872296601,56,158,55,1,1942,223.081,5.77,1.28,0.84,0.42,205.85,12.46,12.9,,56,0,0.0,Green,236.713624383178
