Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus8_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL
Q9BUH6,Protein PAXX OS=Homo sapiens OX=9606 GN=PAXX PE=1 SV=2,4,1,31,204,74.4,36.9,93.2,65.1,61.9,74.5,67.3,55.1,72.6,72.5,17.5,14.1,34.9,21.2,26.8,17.2,14.3,15.0,14.1,26.5
A6NGE7,Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase OS=Homo sapiens OX=9606 GN=URAD PE=5 SV=2,6,1,2,173,71.2,44.3,88.2,63.4,73.9,73.9,71.6,40.4,53.6,55.8,,,,,,,,,,
O43824,Putative GTP-binding protein 6 OS=Homo sapiens OX=9606 GN=GTPBP6 PE=1 SV=4,1,1,4,516,353.5,204.5,477.0,448.2,432.5,424.6,410.9,320.8,430.3,354.2,156.0,140.2,282.4,184.7,215.9,225.3,173.3,182.9,176.3,236.0
Q8ND24,RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=2,4,2,2,703,,,,,,,,,,,27.9,26.0,37.2,31.4,34.0,33.4,24.8,31.5,24.5,33.7
P48739,Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2,11,3,11,271,25.3,15.4,25.2,35.4,24.0,31.1,28.6,19.9,27.0,21.1,24.9,17.6,27.9,23.9,26.0,19.3,23.9,21.1,15.0,25.2
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,14,17,86,1268,219.0,126.6,299.1,258.4,256.6,290.6,261.3,190.1,234.3,237.6,210.9,177.8,333.1,253.8,272.6,274.9,213.5,214.7,191.3,294.8
Q96D71,RalBP1-associated Eps domain-containing protein 1 OS=Homo sapiens OX=9606 GN=REPS1 PE=1 SV=3,2,1,1,796,,,,,,,,,,,58.8,58.3,57.4,68.7,65.2,64.8,64.4,53.3,46.6,71.5
Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3",3,1,8,314,87.8,60.5,83.5,94.0,91.1,86.1,87.2,69.7,80.9,79.3,53.2,59.2,65.3,57.9,77.3,53.7,37.3,52.9,46.3,68.4
Q06278,Aldehyde oxidase OS=Homo sapiens OX=9606 GN=AOX1 PE=1 SV=2,3,3,8,1338,55.5,28.2,64.0,67.8,78.6,53.9,65.7,46.3,60.9,60.4,57.4,48.3,70.8,50.3,66.7,63.3,49.2,52.5,52.7,64.5
Q5HYK3,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Homo sapiens OX=9606 GN=COQ5 PE=1 SV=2",3,1,1,327,26.7,13.7,26.3,27.5,23.3,20.2,20.2,14.6,15.9,21.4,,,,,,,,,,
P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,24,3,369,142,180.2,118.7,143.2,142.8,104.9,152.8,136.4,136.6,124.1,166.9,207.9,165.5,125.5,233.7,135.9,157.9,164.1,139.0,94.4,202.5
Q9NVI1,Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4,1,2,22,1328,758.2,624.0,836.3,962.9,868.8,887.9,903.3,745.2,781.9,830.6,683.6,647.2,745.1,704.1,668.7,632.2,623.1,614.1,377.2,748.6
Q92733,Proline-rich protein PRCC OS=Homo sapiens OX=9606 GN=PRCC PE=1 SV=1,2,1,2,491,24.5,12.9,18.7,13.9,24.7,25.2,19.8,21.2,20.5,21.8,,,,,,,,,,
P39023,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,7,3,5,403,158.7,102.2,182.9,179.4,162.3,151.2,141.1,121.4,126.4,124.6,56.1,58.0,69.0,78.6,75.6,79.0,56.7,65.4,52.4,84.2
Q8IWN7,Retinitis pigmentosa 1-like 1 protein OS=Homo sapiens OX=9606 GN=RP1L1 PE=1 SV=5,0,1,4,2400,63.1,38.2,75.6,79.7,72.2,59.4,62.5,53.5,64.6,58.0,48.2,48.4,103.8,59.1,82.8,64.6,64.2,63.6,49.0,78.0
Q8TF30,"WASP homolog-associated protein with actin, membranes and microtubules OS=Homo sapiens OX=9606 GN=WHAMM PE=1 SV=2",1,1,1,809,,,,,,,,,,,48.9,46.3,78.4,60.4,71.0,76.1,53.9,58.9,47.9,74.9
P14616,Insulin receptor-related protein OS=Homo sapiens OX=9606 GN=INSRR PE=1 SV=2,1,1,2,1297,,,,,,,,,,,83.8,77.6,114.2,98.9,102.9,105.8,87.5,88.7,67.6,111.7
P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,7,2,10,281,99.8,70.4,123.8,115.3,101.1,111.0,110.4,81.9,93.2,88.4,62.6,53.6,78.3,64.0,60.7,58.2,67.5,58.3,47.2,82.4
P40313,Chymotrypsin-like protease CTRL-1 OS=Homo sapiens OX=9606 GN=CTRL PE=1 SV=1,4,1,3,264,15.6,34.5,15.5,15.0,25.8,164.0,162.2,83.5,19.2,78.5,360.3,8.4,189.7,35.3,18.4,29.4,14.5,55.0,6.3,62.4
Q92621,Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3,0,1,5,2012,70.8,48.4,73.7,80.3,72.1,73.2,66.7,61.3,61.7,68.8,59.4,66.3,54.7,57.1,75.4,47.0,47.3,51.2,26.7,50.4
Q2TAA2,Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens OX=9606 GN=IAH1 PE=1 SV=1,3,1,2,248,56.2,28.9,55.8,48.6,45.4,48.5,60.8,46.5,51.7,51.2,59.4,45.8,74.6,62.7,55.0,53.6,37.2,49.9,43.7,74.5
P28838,Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,11,6,19,519,42.9,25.1,113.4,100.1,94.0,100.1,97.6,47.7,97.4,51.6,39.4,39.4,164.6,109.3,127.5,130.8,101.5,69.8,85.5,79.2
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens OX=9606 GN=PTPN11 PE=1 SV=3,8,3,7,593,150.8,97.2,170.5,191.0,149.3,152.4,151.9,132.7,133.6,144.6,51.9,57.9,85.3,68.3,72.3,76.3,49.4,57.8,54.7,78.3
P38606,V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,21,10,22,617,81.1,57.0,104.3,109.6,76.5,91.9,91.7,72.4,80.3,80.5,99.4,91.9,162.9,104.2,111.9,117.4,85.4,103.1,75.8,130.6
Q9NY12,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,19,5,74,217,,,,,,,,,,,26.4,23.8,46.5,33.4,37.8,42.3,32.0,29.8,26.0,39.1
Q9NSC2,Sal-like protein 1 OS=Homo sapiens OX=9606 GN=SALL1 PE=1 SV=2,1,1,3,1324,159.5,92.8,138.1,122.6,152.0,153.9,142.1,116.1,143.2,136.5,140.4,117.4,190.5,126.3,162.7,159.8,130.7,134.2,106.2,188.4
O60733,85/88 kDa calcium-independent phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G6 PE=1 SV=2,1,1,4,806,7.7,,50.7,109.4,54.0,46.4,59.0,14.6,86.7,16.0,13.0,9.4,130.1,54.3,131.3,123.7,48.7,23.8,135.6,43.7
Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens OX=9606 GN=NDUFA5 PE=1 SV=3,14,1,6,116,56.0,30.4,47.8,57.2,43.1,55.6,52.9,40.1,44.3,42.6,43.6,53.5,65.2,62.7,70.4,76.7,65.1,58.4,60.2,75.2
P35658,Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2,2,3,4,2090,12.9,5.5,11.9,11.0,10.9,11.8,13.2,15.7,10.5,8.0,,,,,,,,,,
O14647,Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens OX=9606 GN=CHD2 PE=1 SV=2,1,1,2,1828,19.2,9.0,16.9,21.9,18.3,27.6,20.3,14.2,15.2,18.3,11.1,10.1,12.7,9.2,14.1,15.1,12.1,13.9,7.0,19.4
Q9HAU0,Pleckstrin homology domain-containing family A member 5 OS=Homo sapiens OX=9606 GN=PLEKHA5 PE=1 SV=1,1,1,5,1116,65.7,50.9,110.6,117.1,90.3,100.4,84.3,67.8,93.9,79.2,,,,,,,,,,
P19823,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2,2,2,5,946,96.1,91.7,112.1,119.9,96.6,110.8,108.8,99.9,122.7,118.6,84.4,73.5,127.4,81.4,77.8,85.5,56.5,76.6,59.5,91.2
P49441,Inositol polyphosphate 1-phosphatase OS=Homo sapiens OX=9606 GN=INPP1 PE=1 SV=1,5,2,4,399,142.5,94.1,179.5,195.1,160.8,165.3,163.8,112.6,166.0,147.1,29.9,19.8,31.3,22.2,24.3,27.3,24.1,20.8,25.9,38.0
Q9H2X0,Chordin OS=Homo sapiens OX=9606 GN=CHRD PE=1 SV=2,1,1,4,955,120.7,80.6,122.9,132.2,98.6,118.5,106.5,89.7,77.6,90.4,278.9,216.7,277.4,241.4,210.1,193.9,208.7,198.4,136.9,251.2
P24539,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2",3,1,5,256,84.3,48.2,37.2,114.7,59.2,79.7,69.4,66.7,54.0,67.9,142.2,139.0,250.5,204.3,146.4,167.2,122.7,152.0,91.4,197.2
P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3",12,9,21,727,223.6,171.3,93.3,115.8,108.5,173.6,117.7,160.6,87.8,166.3,100.9,93.1,89.4,108.2,78.4,93.0,68.3,96.2,46.0,126.0
Q8WW12,PEST proteolytic signal-containing nuclear protein OS=Homo sapiens OX=9606 GN=PCNP PE=1 SV=2,6,1,6,178,65.0,53.4,54.8,69.2,81.7,70.1,77.2,67.8,83.2,73.9,12.4,15.4,18.5,16.1,17.3,12.3,9.4,10.8,11.7,16.8
P27695,DNA-(apurinic or apyrimidinic site) endonuclease OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2,12,3,5,318,34.6,26.6,47.0,56.4,35.4,40.5,35.7,32.7,34.9,40.1,24.3,26.7,43.4,30.4,35.3,37.4,24.7,28.8,22.5,32.0
Q96RI1,Bile acid receptor OS=Homo sapiens OX=9606 GN=NR1H4 PE=1 SV=2,1,1,4,486,146.0,88.0,67.2,184.7,77.3,146.3,125.5,113.8,81.6,124.2,,,,,,,,,,
Q7L5Y9,E3 ubiquitin-protein transferase MAEA OS=Homo sapiens OX=9606 GN=MAEA PE=1 SV=1,2,1,1,396,7.6,8.5,9.0,14.5,12.7,12.8,8.8,9.6,14.5,11.5,,,,,,,,,,
