Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131
P13929,Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5,9,3,78,434,595.7,336.9,609.5,664.0,570.0,627.2,625.4,498.2,532.7,510.4,187.9,184.3,232.6,227.9,181.1,199.8,632.3,225.1,120.8,259.9
Q14C86,GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2,2,3,5,1478,32.0,18.6,32.4,34.8,24.5,30.4,32.5,23.3,30.2,29.3,,,,,,,,,,
Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,4,6,12,1785,40.7,35.2,52.5,69.6,60.5,62.8,52.2,37.5,40.3,43.2,,,,,,,,,,
P26641,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,20,6,17,437,52.0,32.3,61.6,65.3,54.6,51.4,55.3,45.5,44.6,43.9,30.5,34.0,47.1,33.0,39.3,39.1,35.6,33.8,29.5,46.2
Q4G0F5,Vacuolar protein sorting-associated protein 26B OS=Homo sapiens OX=9606 GN=VPS26B PE=1 SV=2,7,2,2,336,,,,,,,,,,,34.2,27.7,49.8,33.7,39.6,43.7,27.8,30.2,24.6,39.4
Q13228,Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2,15,7,42,472,228.1,139.2,150.1,173.9,150.6,172.0,162.6,160.0,147.2,165.1,246.6,250.8,276.4,232.6,205.5,196.1,212.4,235.1,156.1,354.1
Q00872,"Myosin-binding protein C, slow-type OS=Homo sapiens OX=9606 GN=MYBPC1 PE=1 SV=2",4,5,9,1141,,,,,,,,,,,15.9,22.1,27.8,18.6,63.6,24.4,563.9,82.8,55.0,110.3
P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2,9,6,15,705,130.7,80.5,71.9,201.0,57.5,135.4,126.5,97.6,61.7,87.2,69.1,71.3,118.5,94.9,59.6,71.5,49.6,59.6,33.3,85.0
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1,8,2,6,381,38.7,25.3,46.6,57.8,44.3,51.5,43.2,34.3,43.9,39.1,62.1,39.3,72.7,51.0,61.9,62.6,50.3,47.6,49.2,72.6
Q9Y4G6,Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4,6,14,33,2542,79.0,54.6,73.5,102.9,85.6,86.6,77.9,63.3,67.2,69.2,13.7,10.6,13.5,14.3,18.5,17.3,34.7,13.2,14.6,17.7
Q9UBS4,DnaJ homolog subfamily B member 11 OS=Homo sapiens OX=9606 GN=DNAJB11 PE=1 SV=1,9,2,12,358,15.7,20.0,28.8,31.8,21.6,21.4,21.9,19.9,20.8,17.7,80.7,57.0,128.1,76.8,96.1,89.0,50.5,69.4,58.5,84.0
P61026,Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1,11,2,7,200,31.7,22.6,26.2,32.0,17.2,24.2,24.8,29.2,17.5,27.3,47.1,42.8,67.7,58.5,48.1,53.9,59.4,43.5,34.9,60.7
P62633,CCHC-type zinc finger nucleic acid binding protein OS=Homo sapiens OX=9606 GN=CNBP PE=1 SV=1,14,2,8,177,88.6,61.2,121.4,102.8,111.4,96.7,113.3,66.5,85.1,78.7,104.7,96.5,181.3,114.6,155.7,148.9,105.9,82.3,105.5,133.1
O60645,Exocyst complex component 3 OS=Homo sapiens OX=9606 GN=EXOC3 PE=1 SV=3,5,3,6,745,28.0,20.7,32.6,37.7,27.3,32.5,36.2,24.5,25.6,31.3,33.5,30.4,33.1,34.0,36.3,29.5,27.0,23.5,24.7,42.1
Q86U28,"Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=ISCA2 PE=1 SV=2",16,2,3,154,,,,,,,,,,,10.2,12.5,17.0,12.4,19.7,18.1,10.5,14.3,9.8,15.9
O96009,Napsin-A OS=Homo sapiens OX=9606 GN=NAPSA PE=1 SV=1,4,2,7,420,67.1,32.4,48.3,42.6,62.4,63.5,54.6,51.9,38.9,59.8,74.9,76.7,117.2,81.4,83.3,76.9,63.2,71.7,44.7,97.7
Q8ND24,RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=2,4,2,2,703,,,,,,,,,,,27.9,26.0,37.2,31.4,34.0,33.4,24.8,31.5,24.5,33.7
P48739,Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2,11,3,11,271,25.3,15.4,25.2,35.4,24.0,31.1,28.6,19.9,27.0,21.1,24.9,17.6,27.9,23.9,26.0,19.3,23.9,21.1,15.0,25.2
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,14,17,86,1268,219.0,126.6,299.1,258.4,256.6,290.6,261.3,190.1,234.3,237.6,210.9,177.8,333.1,253.8,272.6,274.9,213.5,214.7,191.3,294.8
Q06278,Aldehyde oxidase OS=Homo sapiens OX=9606 GN=AOX1 PE=1 SV=2,3,3,8,1338,55.5,28.2,64.0,67.8,78.6,53.9,65.7,46.3,60.9,60.4,57.4,48.3,70.8,50.3,66.7,63.3,49.2,52.5,52.7,64.5
P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,24,3,369,142,180.2,118.7,143.2,142.8,104.9,152.8,136.4,136.6,124.1,166.9,207.9,165.5,125.5,233.7,135.9,157.9,164.1,139.0,94.4,202.5
Q9NVI1,Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4,1,2,22,1328,758.2,624.0,836.3,962.9,868.8,887.9,903.3,745.2,781.9,830.6,683.6,647.2,745.1,704.1,668.7,632.2,623.1,614.1,377.2,748.6
P39023,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,7,3,5,403,158.7,102.2,182.9,179.4,162.3,151.2,141.1,121.4,126.4,124.6,56.1,58.0,69.0,78.6,75.6,79.0,56.7,65.4,52.4,84.2
P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,7,2,10,281,99.8,70.4,123.8,115.3,101.1,111.0,110.4,81.9,93.2,88.4,62.6,53.6,78.3,64.0,60.7,58.2,67.5,58.3,47.2,82.4
P28838,Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,11,6,19,519,42.9,25.1,113.4,100.1,94.0,100.1,97.6,47.7,97.4,51.6,39.4,39.4,164.6,109.3,127.5,130.8,101.5,69.8,85.5,79.2
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens OX=9606 GN=PTPN11 PE=1 SV=3,8,3,7,593,150.8,97.2,170.5,191.0,149.3,152.4,151.9,132.7,133.6,144.6,51.9,57.9,85.3,68.3,72.3,76.3,49.4,57.8,54.7,78.3
P38606,V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,21,10,22,617,81.1,57.0,104.3,109.6,76.5,91.9,91.7,72.4,80.3,80.5,99.4,91.9,162.9,104.2,111.9,117.4,85.4,103.1,75.8,130.6
Q9NY12,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,19,5,74,217,,,,,,,,,,,26.4,23.8,46.5,33.4,37.8,42.3,32.0,29.8,26.0,39.1
P35658,Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2,2,3,4,2090,12.9,5.5,11.9,11.0,10.9,11.8,13.2,15.7,10.5,8.0,,,,,,,,,,
P19823,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2,2,2,5,946,96.1,91.7,112.1,119.9,96.6,110.8,108.8,99.9,122.7,118.6,84.4,73.5,127.4,81.4,77.8,85.5,56.5,76.6,59.5,91.2
P49441,Inositol polyphosphate 1-phosphatase OS=Homo sapiens OX=9606 GN=INPP1 PE=1 SV=1,5,2,4,399,142.5,94.1,179.5,195.1,160.8,165.3,163.8,112.6,166.0,147.1,29.9,19.8,31.3,22.2,24.3,27.3,24.1,20.8,25.9,38.0
P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3",12,9,21,727,223.6,171.3,93.3,115.8,108.5,173.6,117.7,160.6,87.8,166.3,100.9,93.1,89.4,108.2,78.4,93.0,68.3,96.2,46.0,126.0
P27695,DNA-(apurinic or apyrimidinic site) endonuclease OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2,12,3,5,318,34.6,26.6,47.0,56.4,35.4,40.5,35.7,32.7,34.9,40.1,24.3,26.7,43.4,30.4,35.3,37.4,24.7,28.8,22.5,32.0
Q16850,Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=4,5,3,9,509,80.7,33.9,96.2,252.8,76.8,153.9,146.8,89.0,76.7,101.9,37.2,40.2,76.5,58.8,48.5,40.6,38.0,39.7,17.9,53.7
Q8NBU5,Outer mitochondrial transmembrane helix translocase OS=Homo sapiens OX=9606 GN=ATAD1 PE=1 SV=1,7,2,4,361,67.2,45.2,46.7,122.8,39.0,74.5,73.9,65.3,53.6,61.3,,,,,,,,,,
P08133,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3,13,8,55,673,187.9,110.1,147.8,205.9,166.4,197.5,234.3,152.6,186.0,174.3,209.5,192.9,294.6,252.4,228.1,336.0,222.8,271.0,189.3,309.0
P26373,60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4,9,2,8,211,174.4,95.9,143.7,207.3,109.8,155.8,140.5,105.2,112.7,112.9,93.4,86.7,89.5,94.1,87.0,101.7,74.7,71.4,64.1,109.0
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=CPT2 PE=1 SV=2",4,2,6,658,113.2,65.3,96.2,117.8,108.7,104.5,100.9,87.2,106.2,92.8,52.5,50.7,67.0,59.0,65.2,62.1,45.0,61.2,49.8,71.4
Q12792,Twinfilin-1 OS=Homo sapiens OX=9606 GN=TWF1 PE=1 SV=3,13,4,11,350,73.3,47.1,67.1,70.3,69.0,84.4,59.0,68.0,53.6,75.2,62.3,55.8,93.7,62.3,78.2,70.4,61.0,69.2,56.8,94.6
Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,4,3,8,894,107.0,74.3,84.8,85.7,89.3,111.7,94.5,77.9,77.0,93.0,302.3,277.8,294.9,272.6,203.1,226.0,193.7,246.0,131.2,317.0
P48556,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=2,9,4,10,350,131.6,76.5,125.7,141.8,132.8,145.4,136.7,98.3,119.0,112.6,105.3,98.9,146.3,118.5,136.0,123.3,106.3,106.6,78.2,141.9
P54578,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3,14,4,10,494,26.7,19.5,42.0,41.5,44.1,33.9,36.0,31.6,30.7,27.2,,,,,,,,,,
O14936,Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=3,2,2,4,926,37.7,23.7,45.1,51.7,44.9,47.9,40.5,33.2,54.1,50.8,36.3,30.7,61.0,40.9,44.9,44.2,41.7,36.8,35.8,57.3
P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3",18,4,20,280,39.2,24.7,38.4,48.5,31.9,31.5,39.3,31.6,36.1,40.2,80.7,75.0,105.9,99.0,113.7,104.5,80.5,82.8,63.4,109.8
O00267,Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,2,2,2,1087,,,,,,,,,,,40.4,39.3,51.8,44.8,36.0,53.9,28.1,36.8,41.3,56.9
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15 OS=Homo sapiens OX=9606 GN=MAP3K15 PE=1 SV=2,1,2,3,1313,,,,,,,,,,,137.0,114.8,160.4,157.9,151.7,146.6,92.9,129.2,114.3,160.8
Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,12,11,23,1230,54.8,30.1,59.4,64.3,56.2,56.7,55.1,46.7,49.8,43.4,34.0,38.5,60.9,46.8,48.7,39.8,40.0,35.8,27.4,44.8
Q13561,Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4,12,5,16,401,142.8,86.3,162.2,148.0,149.2,143.6,158.5,114.8,133.1,125.0,118.1,98.6,155.7,123.7,139.2,132.2,115.7,111.5,106.8,150.0
P24844,Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,41,6,46,172,54.5,35.4,61.0,58.1,47.2,57.6,101.9,47.3,53.6,70.0,27.5,22.3,56.7,67.1,48.7,43.7,25.5,33.1,14.3,33.6
P62820,Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3,13,3,10,205,158.0,96.5,127.6,263.2,121.9,165.1,156.1,134.4,112.4,126.4,59.9,53.5,96.3,66.2,69.1,63.3,51.6,62.2,40.6,79.1
Q14749,Glycine N-methyltransferase OS=Homo sapiens OX=9606 GN=GNMT PE=1 SV=3,15,4,69,295,401.9,234.1,416.1,441.6,338.3,440.7,433.5,345.9,327.4,348.5,66.6,65.3,129.6,76.2,75.8,74.6,65.7,64.7,51.2,93.6
Q8WVV9,Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens OX=9606 GN=HNRNPLL PE=1 SV=1,6,2,7,542,56.3,39.1,89.2,78.1,75.8,74.3,70.9,58.8,73.1,67.3,30.5,22.0,54.6,38.3,48.5,46.8,29.4,35.4,33.4,45.6
Q86W92,Liprin-beta-1 OS=Homo sapiens OX=9606 GN=PPFIBP1 PE=1 SV=2,2,2,5,1011,25.4,23.0,35.5,39.8,35.6,44.6,34.4,29.2,36.6,24.5,10.0,10.0,17.1,12.3,13.4,13.5,10.6,10.7,8.0,14.2
P08621,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2,4,2,5,437,,,,,,,,,,,46.5,48.2,76.1,54.4,85.1,73.1,258.3,113.5,84.5,134.6
Q969P0,Immunoglobulin superfamily member 8 OS=Homo sapiens OX=9606 GN=IGSF8 PE=1 SV=1,2,2,8,613,75.3,61.2,80.0,88.8,85.9,85.2,79.8,64.0,72.8,75.0,108.7,105.6,146.1,127.9,130.5,128.7,100.5,111.0,84.3,151.3
Q8TEA7,TBC domain-containing protein kinase-like protein OS=Homo sapiens OX=9606 GN=TBCK PE=1 SV=4,2,2,2,893,17.8,9.9,18.3,21.7,19.9,24.4,22.3,16.0,21.1,14.2,17.4,14.6,22.9,16.7,19.6,18.3,17.6,15.2,14.2,22.0
P26196,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,9,4,7,483,33.4,15.9,30.7,35.4,30.6,32.2,23.1,26.3,26.6,25.3,77.4,72.2,121.2,87.7,94.5,95.5,67.9,78.0,66.8,96.3
Q9NS84,Carbohydrate sulfotransferase 7 OS=Homo sapiens OX=9606 GN=CHST7 PE=1 SV=2,3,2,2,486,,,,,,,,,,,74.3,58.2,96.0,69.1,74.9,86.7,55.1,65.5,57.1,83.8
Q9NRL3,Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2,2,2,4,753,39.2,21.5,39.1,46.9,34.3,41.4,43.3,34.0,37.6,32.0,38.1,35.6,59.5,39.5,42.1,44.3,31.1,35.0,30.2,48.4
P57737,Coronin-7 OS=Homo sapiens OX=9606 GN=CORO7 PE=1 SV=2,3,2,5,925,35.6,21.6,53.0,40.0,38.0,47.3,40.7,38.5,42.9,47.1,29.6,29.6,50.3,47.5,46.9,52.0,76.0,48.4,42.3,58.1
O00629,Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,7,3,9,521,48.7,38.5,45.7,60.5,53.8,60.4,57.7,41.1,38.4,43.3,35.6,30.0,54.1,31.9,41.4,35.4,33.7,33.6,21.9,40.3
Q9GZM7,Tubulointerstitial nephritis antigen-like OS=Homo sapiens OX=9606 GN=TINAGL1 PE=1 SV=1,5,2,3,467,,,,,,,,,,,34.9,29.6,37.8,27.3,31.1,35.6,19.8,25.6,16.9,42.9
O00159,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,9,8,14,1063,99.5,57.9,106.4,117.3,84.3,112.2,110.6,82.3,80.6,91.6,40.2,35.1,59.9,47.5,56.5,57.8,40.1,36.1,39.7,56.6
Q9NZJ4,Sacsin OS=Homo sapiens OX=9606 GN=SACS PE=1 SV=2,0,2,8,4579,58.1,42.2,148.1,345.7,126.2,141.0,181.2,61.6,153.0,70.1,,,,,,,,,,
Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1",5,5,9,866,40.1,23.2,51.4,54.2,45.4,47.5,39.5,33.4,37.1,36.6,77.9,56.0,107.9,70.1,72.9,62.1,60.3,58.1,48.4,81.8
P06865,Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2,5,3,6,529,38.3,24.6,30.0,32.2,28.9,33.0,30.5,26.2,27.6,32.0,24.0,20.2,31.5,24.6,26.0,26.7,22.2,25.3,17.0,38.1
O75347,Tubulin-specific chaperone A OS=Homo sapiens OX=9606 GN=TBCA PE=1 SV=3,16,2,6,108,101.6,52.5,99.3,110.9,104.1,109.7,90.1,73.5,100.3,96.0,101.4,86.0,152.7,114.6,121.1,133.6,90.8,96.7,100.9,130.3
P14625,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,16,11,72,803,216.8,144.0,218.0,258.9,207.6,227.8,230.9,173.4,195.9,189.6,302.6,257.8,471.0,333.1,333.9,338.4,211.6,300.6,245.6,393.2
Q14203,Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3,2,2,3,1278,162.5,119.2,175.1,220.8,141.7,145.6,140.5,121.8,121.6,151.8,,,,,,,,,,
Q12959,Disks large homolog 1 OS=Homo sapiens OX=9606 GN=DLG1 PE=1 SV=2,9,6,16,904,58.3,42.6,65.2,78.4,56.6,68.1,66.4,46.0,60.4,58.4,36.0,32.8,59.6,41.9,50.8,48.6,34.5,42.6,31.8,52.8
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1",14,2,5,210,,,,,,,,,,,23.3,23.2,29.6,28.6,33.8,27.5,20.2,22.1,19.0,39.7
Q96AE4,Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3,13,8,30,644,40.5,24.0,42.5,38.3,48.1,46.2,49.7,37.1,41.4,39.6,116.9,91.2,146.4,105.9,128.7,132.5,94.2,104.6,94.9,149.7
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,2,3,8,1233,41.4,27.1,60.9,65.9,56.6,49.2,54.7,39.5,58.3,49.2,42.4,31.3,70.8,47.0,52.9,61.1,37.1,41.7,36.5,55.0
Q9BRX8,Peroxiredoxin-like 2A OS=Homo sapiens OX=9606 GN=PRXL2A PE=1 SV=3,7,2,2,229,47.9,24.9,39.9,80.5,47.3,55.0,65.2,40.4,48.3,43.6,,,,,,,,,,
P40763,Signal transducer and activator of transcription 3 OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=2,7,4,9,770,70.8,37.2,85.7,82.6,69.2,74.8,73.0,59.5,65.9,63.9,47.5,37.5,77.0,48.7,59.5,57.1,40.3,56.4,41.2,65.1
P17152,"Transmembrane protein 11, mitochondrial OS=Homo sapiens OX=9606 GN=TMEM11 PE=1 SV=1",13,2,4,192,50.0,25.2,51.0,74.2,46.5,48.0,58.6,36.5,38.5,38.7,75.1,62.4,98.0,80.9,85.6,71.7,64.6,63.9,57.1,82.6
Q9Y394,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1,5,2,3,339,84.4,34.1,50.9,113.2,63.8,87.7,93.3,60.9,60.9,69.3,120.4,139.9,186.2,182.4,137.1,173.9,83.3,122.7,88.8,149.8
P13984,General transcription factor IIF subunit 2 OS=Homo sapiens OX=9606 GN=GTF2F2 PE=1 SV=2,7,2,5,249,198.5,123.1,148.5,293.8,213.9,226.5,509.4,249.4,221.4,303.5,334.4,142.3,335.8,177.8,169.5,297.3,505.1,243.3,146.3,291.5
P11216,"Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5",12,8,22,843,88.5,51.3,74.5,107.1,84.6,101.0,105.2,66.9,82.9,88.1,86.4,88.2,141.3,108.4,103.2,157.6,95.4,85.1,70.5,115.9
Q9NSK0,Kinesin light chain 4 OS=Homo sapiens OX=9606 GN=KLC4 PE=1 SV=3,7,3,5,619,43.2,26.5,59.9,58.1,42.7,47.8,50.2,39.5,40.7,37.9,84.4,78.7,135.1,97.4,116.6,98.6,90.2,88.4,71.1,120.9
P30050,60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,30,3,31,165,91.0,59.8,151.7,127.8,101.2,104.2,105.9,82.8,89.1,82.4,74.0,59.2,106.0,64.2,94.8,85.1,63.6,62.8,59.3,92.9
Q9P035,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens OX=9606 GN=HACD3 PE=1 SV=2,6,2,5,362,53.0,33.4,31.7,106.8,36.3,59.1,60.9,38.9,21.7,41.5,93.6,87.1,186.4,115.3,115.9,99.0,76.6,97.0,57.8,118.6
Q13126,S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens OX=9606 GN=MTAP PE=1 SV=2,10,2,7,283,46.4,27.8,48.3,59.1,48.7,42.8,44.9,40.3,30.4,38.8,68.3,66.6,97.4,79.3,86.1,78.2,60.3,65.1,47.3,88.6
Q01085,Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1,7,2,3,375,42.2,29.3,46.3,47.8,51.4,45.4,49.4,33.7,43.4,36.1,72.4,65.4,111.4,87.1,95.5,95.1,68.8,72.4,75.0,99.0
P48728,"Aminomethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=AMT PE=1 SV=1",10,3,7,403,44.4,22.9,368.1,364.4,250.3,184.2,267.1,102.9,354.9,170.8,116.9,95.1,230.6,125.3,211.1,229.1,116.7,146.5,197.6,194.1
