Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131,mouse_accession,Description,Coverage [%]
41.3,73.6,109.9,67.6,55.7,52.3,51.5,45.4,45.3,40.2,61.7,37.9,46.5,56.7,69.9,67.2,51.2,56.3,50.5,85.2,P04939,Major urinary protein 3 OS=Mus musculus OX=10090 GN=Mup3 PE=1 SV=1,16
327.1,185.5,351,378.8,291.8,331.4,309.7,258,277.8,298.6,29.1,24.3,40.5,36.6,39.4,39.9,27.8,28.5,25.8,33.6,A2AKX3,Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx PE=1 SV=1,0
34.8,26.4,35.3,41.2,37.3,31,36.1,26.3,26.2,29.6,14.4,14.3,32.5,17,17.6,17.6,12.6,15.9,17.7,24.6,Q9DBA6,Peroxisomal leader peptide-processing protease OS=Mus musculus OX=10090 GN=Tysnd1 PE=1 SV=1,7
153.4,87,158.3,183,162.3,155.7,133.7,116.9,134.2,134.8,151.4,144.7,243.4,167.7,203,166.5,159.2,175.5,137,207.4,Q3UQ44,Ras GTPase-activating-like protein IQGAP2 OS=Mus musculus OX=10090 GN=Iqgap2 PE=1 SV=2,16
176.7,85.5,165.1,179.7,188,202.8,235.4,163.6,137.8,156.7,108.5,100.3,159.7,136.7,118.7,122.5,103.8,111.4,79.3,143.8,O70475,UDP-glucose 6-dehydrogenase OS=Mus musculus OX=10090 GN=Ugdh PE=1 SV=1,19
79.5,48.6,90,90.6,87.4,90.3,86.7,61.5,74.9,69.3,53.7,43.5,73,52.3,58.5,56.4,55.8,50.2,44.4,65.6,Q9CR95,Adaptin ear-binding coat-associated protein 1 OS=Mus musculus OX=10090 GN=Necap1 PE=1 SV=2,3
11.6,5.5,14.7,20.9,11,13.4,10.9,8.6,10.8,11.1,11,9.6,14.4,10.9,16.9,12.8,10.7,13.7,9.9,13.4,P40936,Indolethylamine N-methyltransferase OS=Mus musculus OX=10090 GN=Inmt PE=1 SV=1,8
22.8,15.2,15.7,36.7,16.1,22.7,25,25.5,13.5,27.8,25.1,27.2,55,36.9,33.6,31.5,96.5,34.6,17.6,47.6,Q8BH59,Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus OX=10090 GN=Slc25a12 PE=1 SV=1,13
109.9,64.5,129.8,122.3,113.3,114.4,110.6,89.8,103.2,95.9,21.5,17.8,28.5,25.6,25.1,24.7,19.4,16.8,19.4,30.4,Q63829,COMM domain-containing protein 3 OS=Mus musculus OX=10090 GN=Commd3 PE=1 SV=1,28
15.8,8.6,18.4,19.6,17.9,16.2,14.8,11.5,16.8,14.8,,,,,,,,,,,Q8BG81,Polymerase delta-interacting protein 3 OS=Mus musculus OX=10090 GN=Poldip3 PE=1 SV=1,9
54.5,35.4,61,58.1,47.2,57.6,101.9,47.3,53.6,70,27.5,22.3,56.7,67.1,48.7,43.7,25.5,33.1,14.3,33.6,Q9CQ19,Myosin regulatory light polypeptide 9 OS=Mus musculus OX=10090 GN=Myl9 PE=1 SV=3,41
14.6,11.5,11.6,15,10.4,36.3,37.8,22.2,12.7,24.2,169.3,5.8,95.9,17.4,17.3,17.3,9.2,27.6,4.7,31.3,Q91X79,Chymotrypsin-like elastase family member 1 OS=Mus musculus OX=10090 GN=Cela1 PE=1 SV=1,34
63.9,38.8,73.8,72.6,63.1,70.2,73.4,53.3,60.9,58.5,42.9,43.5,73,48.1,60.4,56.4,40.7,44.4,49.3,67.5,Q8BMA6,Signal recognition particle subunit SRP68 OS=Mus musculus OX=10090 GN=Srp68 PE=1 SV=2,19
43.1,24.8,44.5,47.8,43.8,52.2,40.8,38.2,41.9,37.7,29.3,27.1,54.9,36.5,39.2,41.7,31.6,35.1,28.5,39.8,Q9EQG9,Ceramide transfer protein OS=Mus musculus OX=10090 GN=Cert1 PE=1 SV=1,4
10.7,9.3,16.2,23,15.6,12,15.3,10.1,11.6,14.1,20.2,24,37.6,26.4,28.9,27,31.8,25.9,18,33.4,P70670,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2",1
60.8,43.3,81.5,79.1,72,83.9,72,55.7,66.8,67.5,20,17.6,34.5,20.9,26.1,30.3,21.2,20.4,18.2,29,Q9JLV6,Bifunctional polynucleotide phosphatase/kinase OS=Mus musculus OX=10090 GN=Pnkp PE=1 SV=2,8
151.3,68.3,128.3,151.1,145.7,129.8,125.2,114,161.3,124.4,22.1,20.2,30,25.2,29.1,27.2,20.2,20.9,21.2,29.9,Q9EQF5,Dihydropyrimidinase OS=Mus musculus OX=10090 GN=Dpys PE=1 SV=2,23
51.1,29.5,56.5,67.4,50.8,53.4,58.6,32.6,50.3,42.5,44.6,41.6,79.7,61.6,58.4,62.1,49.4,49.4,43.4,64.3,B2RXS4,Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1,6
46.2,32.1,35.6,50.6,41.8,44.8,49.2,39.3,34.4,41.5,30.1,28.3,38.1,31.4,33.1,30.3,27,22.1,21.6,48.5,P11859,Angiotensinogen OS=Mus musculus OX=10090 GN=Agt PE=1 SV=1,8
33.6,23.9,30.1,31.2,34.5,38.7,37.7,25,29.7,29.9,23,17,37.9,20,25.9,27.4,24.5,20.9,19.5,30.4,Q9DCL9,Multifunctional protein ADE2 OS=Mus musculus OX=10090 GN=Paics PE=1 SV=4,22
114,71.6,107.2,112.7,89.3,112.6,97.4,92.3,77,92.4,69.3,57.6,90.6,72.5,78,62.9,64,66.6,40,88.9,Q91WD5,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs2 PE=1 SV=1",30
73.7,46.5,80.6,101.2,75,90.2,88,67.5,92.7,77.6,58.6,55.8,68.5,51,56.2,59,37,42.3,41.2,69.9,P70677,Caspase-3 OS=Mus musculus OX=10090 GN=Casp3 PE=1 SV=1,13
55.4,42,42.9,150,40.4,64.4,76,52,54.4,62.9,,,,,,,,,,,Q9CRA0,Ecto-ADP-ribosyltransferase 4 OS=Mus musculus OX=10090 GN=Art4 PE=1 SV=1,2
289.7,132.7,198.2,264,233.7,282.1,285.9,205.6,288.8,239.3,331.8,270.7,325.7,347.9,356.5,351,252.8,288.7,261.1,395.1,Q8VCC2,Liver carboxylesterase 1 OS=Mus musculus OX=10090 GN=Ces1 PE=1 SV=1,28
196.6,113.7,108.3,269.9,135.7,190.1,177.9,145.8,126.3,167.8,146.1,168.9,205.7,238.5,185,189.7,111.9,170.8,99.6,199,Q9QZD8,Mitochondrial dicarboxylate carrier OS=Mus musculus OX=10090 GN=Slc25a10 PE=1 SV=2,24
135.8,83.5,97.5,158.3,99.6,135.7,121.8,113.6,120.6,128.3,187.5,188.1,363.1,218.3,346,298.7,187.4,249.8,226,360.3,Q91ZP9,N-terminal EF-hand calcium-binding protein 2 OS=Mus musculus OX=10090 GN=Necab2 PE=1 SV=1,2
52.8,26.8,59.6,57.4,54,50.2,56.6,44,53.8,46.3,115.7,119.5,189.8,129.9,150.7,124.5,104.4,114,103,151.4,Q922E4,Ethanolamine-phosphate cytidylyltransferase OS=Mus musculus OX=10090 GN=Pcyt2 PE=1 SV=1,17
122.2,69.6,133.4,132.3,132.7,132.5,133.6,103.3,127.3,117.4,74.3,74.3,92.3,76.3,99.8,95.2,75.3,74.3,60.4,111.5,P49722,Proteasome subunit alpha type-2 OS=Mus musculus OX=10090 GN=Psma2 PE=1 SV=3,18
309.8,225.2,283.3,420.4,278.8,334.1,319.6,273.9,265.1,255.1,258,207,421.5,283.7,273.8,323.5,179.4,245.5,209,321.8,P20029,Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3,22
18.2,8.9,13.8,20.8,20,47.2,32.3,960.9,30.8,991,9.5,28.5,59.3,13.9,109.5,53.4,2779.6,288.3,130,307,Q62392,Pleckstrin homology-like domain family A member 1 OS=Mus musculus OX=10090 GN=Phlda1 PE=1 SV=2,2
34,23.8,40.4,72.5,46.5,60.1,48,39.9,39.3,39.2,,,,,,,,,,,A2ABU4,Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1,1
31.7,22.6,26.2,32,17.2,24.2,24.8,29.2,17.5,27.3,47.1,42.8,67.7,58.5,48.1,53.9,59.4,43.5,34.9,60.7,P61027,Ras-related protein Rab-10 OS=Mus musculus OX=10090 GN=Rab10 PE=1 SV=1,11
114.8,75.3,56.7,65.6,78.5,106.7,74.4,93.2,56.3,101.6,65.7,58,62.2,58.3,50.5,57.1,53.7,54.3,38.3,66.1,Q9EST5,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus OX=10090 GN=Anp32b PE=1 SV=1,10
9.6,7.3,19.4,19.3,10.3,12.3,15.1,10.7,16.7,13.3,11.1,12.3,17.2,13.3,15.1,18.9,15.2,12.6,10.2,22.3,Q60992,Guanine nucleotide exchange factor VAV2 OS=Mus musculus OX=10090 GN=Vav2 PE=1 SV=1,4
50.3,30.8,53.9,53.4,45.5,51.2,54.2,39.9,53.2,42.4,52.8,47,79,58.9,64.5,58.3,58.1,54.9,45.7,67,P56399,Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1,14
459.2,219.4,308.1,365.9,336.6,391.7,415.5,282.2,312.4,283.4,59.4,213.2,138.2,111.3,147.5,142.5,90.2,101.2,106,140.7,Q8VHE6,"Dynein heavy chain 5, axonemal OS=Mus musculus OX=10090 GN=Dnah5 PE=1 SV=2",0
446.5,219.5,337.2,448.1,319.2,363.2,360.5,286.4,317.9,323.5,329.2,298,343.9,313.9,266.8,319.7,197,219.9,186.7,304.5,Q64727,Vinculin OS=Mus musculus OX=10090 GN=Vcl PE=1 SV=4,25
175.4,115.4,146.3,162.2,125.1,127.7,127.5,119.5,142.2,128.1,538.7,477.8,782.5,636.3,677.4,593.2,496.4,566.7,407.5,704,Q9D513,Meiosis-specific with OB domain-containing protein OS=Mus musculus OX=10090 GN=Meiob PE=1 SV=3,2
101.6,67,54.2,111.6,55.8,98.1,79,75,50.5,81.3,,,,,,,,,,,Q61324,Aryl hydrocarbon receptor nuclear translocator 2 OS=Mus musculus OX=10090 GN=Arnt2 PE=1 SV=2,1
28.1,17.8,226.4,324.5,175.4,123.8,176,36.3,236.2,49.1,40.5,36,201,114.8,234,220.8,103.7,77.1,198.3,98,Q3UGF1,WD repeat-containing protein 19 OS=Mus musculus OX=10090 GN=Wdr19 PE=1 SV=1,1
77.8,49.8,93.9,101.5,88.5,89.3,88.7,67.3,92.9,80.6,35.4,30.8,51.1,41.6,43.5,44.7,36.8,37.8,31.1,46.4,Q62318,Transcription intermediary factor 1-beta OS=Mus musculus OX=10090 GN=Trim28 PE=1 SV=3,13
109.3,61,105.9,174.1,122.4,152.1,174.8,115.4,172,130.7,19.9,22.8,29.2,30.8,30.2,33.2,21.8,25.1,22.7,34.4,Q9D7J9,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Echdc3 PE=1 SV=1",27
53.1,34.4,50.2,66.5,57.8,63.9,47.7,39.3,53.9,52,37.9,45.5,67.7,49.9,51.6,50.9,52.8,59.7,41.3,67.8,P46735,Unconventional myosin-Ib OS=Mus musculus OX=10090 GN=Myo1b PE=1 SV=3,10
33.4,26.4,51.6,53.1,47.7,46.2,42.5,35.4,44.3,44.4,38.9,40.3,81.7,58.3,61.1,60.9,57,52.5,43.8,60.4,Q3TKY6,Spliceosome-associated protein CWC27 homolog OS=Mus musculus OX=10090 GN=Cwc27 PE=1 SV=1,3
50.9,30.9,63.1,57.1,54.2,63.5,59.9,44,63.9,50.7,106.5,96.9,147.6,119.6,132.4,157.3,89.9,124.9,95.3,166.9,Q6P8J2,Thialysine N-epsilon-acetyltransferase OS=Mus musculus OX=10090 GN=Sat2 PE=1 SV=1,18
258.9,162.1,203.2,251.4,211.5,203.9,211.9,184.4,160.2,197.4,143.1,158.8,240.4,156.7,229.1,184.9,123.1,132.7,145.1,223.5,Q8R2N0,Thyroid transcription factor 1-associated protein 26 OS=Mus musculus OX=10090 GN=Ccdc59 PE=2 SV=2,3
25.2,17.6,28.2,31,23.7,28.6,21.9,21.6,21.7,24.8,,,,,,,,,,,Q8R3L2,Transcription factor 25 OS=Mus musculus OX=10090 GN=Tcf25 PE=1 SV=2,1
,,,,,,,,,,91.5,81,110.3,96.2,90.5,120.1,80.5,86.1,68.3,117.7,Q8BGT1,Leucine-rich repeat transmembrane protein FLRT3 OS=Mus musculus OX=10090 GN=Flrt3 PE=1 SV=1,1
151.6,79.5,140.8,155.4,132.7,143.4,148.1,115.6,128.2,122.6,89.8,77.9,131.7,100.7,107.7,104.6,77.5,85.2,76.7,113,O70325,Phospholipid hydroperoxide glutathione peroxidase OS=Mus musculus OX=10090 GN=Gpx4 PE=1 SV=4,11
42.9,34,53.1,60.6,50.3,54.2,50.3,34.9,47.9,46.9,23.3,21.1,48.4,33.2,37.8,35.7,26.2,29.6,29.1,36.6,Q3UMF0,Cordon-bleu protein-like 1 OS=Mus musculus OX=10090 GN=Cobll1 PE=1 SV=2,7
45,28.9,81.9,74.7,43.9,55.7,52.5,48.1,58.3,52.8,43.6,46.9,64.9,48.8,52.9,71.2,48.4,52.4,30.1,60.5,Q8CCH2,NHL repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Nhlrc3 PE=1 SV=1,4
16,10.3,20.4,24.6,15.8,17.7,15.1,13.7,16.7,18.9,26.9,26.7,42.9,30.1,33.9,28,28.1,27.5,21.2,35.7,Q9D0M1,Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Mus musculus OX=10090 GN=Prpsap1 PE=1 SV=1,24
,,,,,,,,,,120.6,106.1,142.2,109.9,93.1,86.6,87.5,96.2,72,113.7,L0N7N1,Kinesin-like protein KIF14 OS=Mus musculus OX=10090 GN=Kif14 PE=1 SV=1,1
54.7,32.6,59.7,65,58.8,62.2,65.9,45.8,51.4,54.8,70.2,61.4,104.6,86.2,99.1,95.5,69.7,80.3,55.2,95.2,Q8BZW8,NHL repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Nhlrc2 PE=1 SV=1,7
31.2,17.5,26.7,44.2,28.5,26.8,30.5,18.8,26.1,22.8,36.2,29,56.5,40.1,41.9,51,38.2,40.1,32.3,48.3,Q9Z1N5,Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1,20
,,,,,,,,,,44.2,36.3,54.4,34.6,37.4,50.2,31,44.1,39.5,48.8,Q61235,Beta-2-syntrophin OS=Mus musculus OX=10090 GN=Sntb2 PE=1 SV=2,6
53.1,39.5,76.8,68.3,52.2,62.5,57.6,47.5,56.8,43.8,41,37.8,64.2,37.6,44.8,47.2,31.9,30.4,40.3,49.2,Q922R8,Protein disulfide-isomerase A6 OS=Mus musculus OX=10090 GN=Pdia6 PE=1 SV=3,18
33.9,24.2,40.4,37,45.4,50.5,50.9,30.5,43.2,38.2,68.3,50.8,71.3,62.5,74,69.4,47.1,55.5,40.8,79,Q8K183,Pyridoxal kinase OS=Mus musculus OX=10090 GN=Pdxk PE=1 SV=1,21
20.5,17.8,26.4,33.2,25,23.2,23.8,19.6,21.9,20.6,16,17.1,35.9,20,18.4,21.4,17.7,16.6,11.7,27.3,Q06138,Calcium-binding protein 39 OS=Mus musculus OX=10090 GN=Cab39 PE=1 SV=2,10
7.6,8.5,9,14.5,12.7,12.8,8.8,9.6,14.5,11.5,,,,,,,,,,,Q4VC33,E3 ubiquitin-protein transferase MAEA OS=Mus musculus OX=10090 GN=Maea PE=1 SV=1,4
358.7,220.9,336,339.4,320.6,339.5,337,278.7,244.6,266.8,171.6,158.1,211.5,172.7,161.3,139.5,132.6,146.3,99.7,233.4,P09103,Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2,11
52.2,32.2,50,64.1,64.4,61.5,45.4,45.3,52.2,51.3,27.1,19.9,40.9,33.2,34.8,30.7,37.1,27,24.4,40,Q9R0Q6,Actin-related protein 2/3 complex subunit 1A OS=Mus musculus OX=10090 GN=Arpc1a PE=1 SV=1,15
,,,,,,,,,,180.6,167.8,163.3,152.6,163.5,165.4,102.8,142.3,101.3,195.6,P56382,"ATP synthase subunit epsilon, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1e PE=1 SV=2",15
39.2,21.5,39.1,46.9,34.3,41.4,43.3,34,37.6,32,38.1,35.6,59.5,39.5,42.1,44.3,31.1,35,30.2,48.4,P58404,Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2,3
55.2,42.1,75.9,87.4,66.4,81.1,72.8,59.8,71.8,84,106.9,100.1,165.1,118,136.5,141.2,101.8,115.4,93,154.2,Q4FZD7,Inactive serine/threonine-protein kinase PLK5 OS=Mus musculus OX=10090 GN=Plk5 PE=1 SV=1,1
213.8,136.3,179.2,265.5,185.4,206.3,178.8,153.6,132.5,155.8,26.1,24.2,42.1,31.5,32.4,42.5,21.6,22.8,29.5,44.2,Q8BI06,Cell migration-inducing and hyaluronan-binding protein OS=Mus musculus OX=10090 GN=Cemip PE=1 SV=4,1
19.6,11.8,15.2,17.4,12.3,12.4,19.1,13.9,12,11.3,18,16.5,22.8,15.6,15.3,11.4,16.6,15.5,13.4,23,Q8C754,Vacuolar protein sorting-associated protein 52 homolog OS=Mus musculus OX=10090 GN=Vps52 PE=1 SV=1,3
,,,,,,,,,,23.5,15.2,30.9,21.8,25.9,24.2,23.1,18.5,16.5,31.6,Q8R2Y2,Cell surface glycoprotein MUC18 OS=Mus musculus OX=10090 GN=Mcam PE=1 SV=1,3
37.2,26.2,45.8,57.1,32.7,42.6,41.3,29.4,42.1,39.5,80.5,78.5,83.9,76.1,105.4,92.4,65.5,76.6,78.4,106.8,Q3UNZ8,Quinone oxidoreductase-like protein 2 OS=Mus musculus OX=10090 GN=Cryzl2 PE=1 SV=1,20
26.1,13.2,26.2,34.1,22.2,29.1,22.8,20.1,20.2,22.4,29,26.1,41,30.9,38.2,34.9,27.8,26.2,25.8,40.9,Q3TCH7,Cullin-4A OS=Mus musculus OX=10090 GN=Cul4a PE=1 SV=1,5
258.7,198.2,306,412.1,317.3,322.8,302.1,259.9,278.9,305.2,181.7,187.1,291.2,252.5,287.3,280.7,166.2,245.4,180.2,315.9,Q9Z0V7,Mitochondrial import inner membrane translocase subunit Tim17-B OS=Mus musculus OX=10090 GN=Timm17b PE=1 SV=1,14
51.6,38.3,62.2,72.7,57.7,71.8,77.3,56.2,61.1,54,88.7,67.6,98.2,88.1,86.4,92,81.8,73.5,63.5,101.6,O35639,Annexin A3 OS=Mus musculus OX=10090 GN=Anxa3 PE=1 SV=4,19
22.4,12.7,19.4,31.4,17.3,27.4,26.9,21.5,16.7,18.8,46,41.2,61.4,44.1,51.8,42.6,34,42.8,25.9,65.4,P01898,"H-2 class I histocompatibility antigen, Q10 alpha chain OS=Mus musculus OX=10090 GN=H2-Q10 PE=1 SV=3",26
168.6,116.9,114.5,320.2,125.4,209.1,188.8,224.2,119,234.5,50.3,55.5,81,63.5,111.8,62.9,1229.9,224.3,117.5,233.2,A2ASS6,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,3
113.9,69.2,64.7,154.3,74.4,119.8,99.6,84.6,67.3,84.2,58,66,98.5,89.8,68.8,73.3,50,66.8,41.3,82.6,Q924Z4,Ceramide synthase 2 OS=Mus musculus OX=10090 GN=Cers2 PE=1 SV=1,4
10.5,3.4,13.8,13.9,10.2,16.2,10.3,6.3,11,9.7,,,,,,,,,,,Q9Z321,DNA topoisomerase 3-beta-1 OS=Mus musculus OX=10090 GN=Top3b PE=1 SV=1,1
18.7,10.1,24.8,11.7,11.7,14.8,18,11.4,15.4,13.5,18.7,18.8,23.7,22.7,21.3,23.7,18.5,15.1,18.4,25.7,P06909,Complement factor H OS=Mus musculus OX=10090 GN=Cfh PE=1 SV=2,6
89.5,60.3,103.8,121,109.2,130.7,102.7,92.2,98,114.9,122.2,115,208.4,162.5,176.3,178.9,168.6,192.7,147.8,246,Q8CHE4,PH domain leucine-rich repeat-containing protein phosphatase 1 OS=Mus musculus OX=10090 GN=Phlpp1 PE=1 SV=2,1
148.5,94.8,154.9,163.8,142.9,150.2,133.3,122.8,134.1,137.9,274.4,257.4,378.8,278.2,291.2,291.6,194.6,271.6,242.3,407.5,Q922B2,"Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Dars1 PE=1 SV=2",32
15,11.7,23.2,23.4,23.2,20.6,19.8,16.6,13.8,14.1,,,,,,,,,,,Q8BSS9,Liprin-alpha-2 OS=Mus musculus OX=10090 GN=Ppfia2 PE=1 SV=2,1
