human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,Description_prot,Coverage [%]_prot,# Peptides_prot,# PSMs_prot,# AAs_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_prot,Mmus8_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17_prot,RR1_GC_NASA_LVR_POOL_prot,RR1_GC_NASA+CASIS_LVR_POOL_prot,RR1_BA_CASIS_LVR_POOL_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21.1_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17.1_prot,RR1_GC_NASA_LVR_POOL.1_prot,RR1_GC_NASA+CASIS_LVR_POOL.1_prot,RR1_BA_CASIS_LVR_POOL.1_prot,Mmus_C57-6J_LVR_GC_I_Rep1_M31_rna,Mmus_C57-6J_LVR_GC_I_Rep2_M32_rna,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_rna,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_rna,Mmus_C57-6J_LVR_GC_C_Rep1_M36_rna,Mmus_C57-6J_LVR_GC_C_Rep2_M37_rna,Mmus_C57-6J_LVR_GC_C_Rep3_M38_rna,Mmus_C57-6J_LVR_GC_C_Rep4_M39_rna,Mmus_C57-6J_LVR_GC_C_Rep5_M40_rna,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_rna,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_rna,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_rna,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_rna,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_rna
ENSG00000198682,O95340,PAPSS2,ENSMUSG00000024899,Papss2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens OX=9606 GN=PAPSS2 PE=1 SV=2,21,9,30,614,98.9,52.9,73.5,78.9,61.3,77.0,81.1,56.6,61.7,55.3,115.0,113.1,137.3,132.8,126.5,126.9,93.6,115.0,76.0,128.3,9540.49838668109,7927.29856226825,6822.16455801213,7548.10110752154,4438.81566561458,4191.14993018725,3819.6102595633,3363.31105173513,4468.55052773605,4666.13852484235,2458.75015070328,4066.62161268505,2751.96116715477,5494.34793047745
ENSG00000198814,P32189,GK,ENSMUSG00000025059,Gk,Glycerol kinase OS=Homo sapiens OX=9606 GN=GK PE=1 SV=3,7,3,12,559,10.2,6.0,8.5,9.6,13.7,8.9,10.7,8.6,12.8,11.0,71.2,76.7,106.5,77.0,84.1,75.7,57.0,66.7,60.3,110.1,2304.68216696246,2023.11802411043,1457.17401658877,1931.76462261361,2568.49170732569,2081.50354655045,2343.84566454375,2357.49789586324,2199.13150142215,2241.62496831046,1126.578348946,1894.12073853988,1655.14507987993,2287.57146612669
ENSG00000198924,Q6PJP8,DCLRE1A,ENSMUSG00000025077,Dclre1a,DNA cross-link repair 1A protein OS=Homo sapiens OX=9606 GN=DCLRE1A PE=1 SV=3,1,1,3,1040,,,,,,,,,,,27.5,28.7,20.3,16.7,16.9,22.1,22.4,17.8,20.0,25.2,242.733497375443,290.515135139054,283.327053131046,205.294457780136,324.878010829463,659.961315760047,468.095600591259,310.669201312915,922.093251484581,322.41606704597,306.757743655028,320.494371128351,362.03598020805,428.787506200673
ENSG00000211456,Q9NTJ5,SACM1L,ENSMUSG00000025240,Sacm1l,Phosphatidylinositol-3-phosphatase SAC1 OS=Homo sapiens OX=9606 GN=SACM1L PE=1 SV=2,7,4,13,587,121.4,67.5,60.0,145.4,76.2,122.4,122.0,94.6,72.4,97.4,45.2,46.9,92.5,61.0,39.8,49.2,39.1,53.6,18.7,60.9,1792.68187692711,1387.30831127307,1488.9319339089,1149.40287442385,1159.69368720701,835.710497413943,1114.33703987968,924.144718595045,990.668958157184,1355.55195193715,1150.61399141745,1254.76191804735,896.000456792817,920.862940712366
ENSG00000213614,P06865,HEXA,ENSMUSG00000025232,Hexa,Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2,5,3,6,529,38.3,24.6,30.0,32.2,28.9,33.0,30.5,26.2,27.6,32.0,24.0,20.2,31.5,24.6,26.0,26.7,22.2,25.3,17.0,38.1,1034.71048129454,963.394987203309,1012.89317092561,949.697265566958,784.543032180369,671.63981446829,810.06219437196,897.092145652132,646.60347676265,741.226427858241,625.103265421493,691.487740234077,616.195265331173,676.589281434051
ENSG00000257727,Q9Y2B0,CNPY2,ENSMUSG00000025381,Cnpy2,Protein canopy homolog 2 OS=Homo sapiens OX=9606 GN=CNPY2 PE=1 SV=1,26,4,23,182,97.7,49.9,70.7,113.3,87.9,106.1,99.2,73.2,98.1,85.0,78.7,66.5,96.0,76.3,73.4,74.9,60.2,64.6,61.9,95.5,1387.31232165078,1375.35206098174,1181.26242859535,1636.11884845895,2283.91010641315,1795.04359643691,2053.70604867694,1803.20078342414,1817.42074988992,2450.38905823056,2115.45908572614,2571.44053815855,1762.7972040489,2099.43882954107
ENSG00000114648,O94889,KLHL18,ENSMUSG00000054792,Klhl18,Kelch-like protein 18 OS=Homo sapiens OX=9606 GN=KLHL18 PE=1 SV=3,1,1,2,574,21.7,19.4,31.4,35.8,32.0,27.8,31.9,26.7,31.0,31.3,,,,,,,,,,,190.75222801982,162.230827744644,213.618222769403,201.980718011253,127.491034808654,198.120610477138,166.304917510156,149.16311551428,164.921535492018,118.924479940116,169.482754491801,181.142659902746,176.266579424028,142.712231043236
ENSG00000130402,O43707,ACTN4,ENSMUSG00000054808,Actn4,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,22,18,93,911,27.4,20.0,32.0,38.7,28.1,29.9,35.3,24.7,26.1,24.7,87.0,80.9,147.8,87.6,127.1,113.9,81.7,82.6,81.4,125.5,4445.67694543003,3646.2107714846,3959.05875068784,3469.90416374835,2650.22882863775,2552.00651620897,2580.08354166493,2678.51653296904,2860.8123942112,2681.32456601784,3087.51849700463,3064.27345842807,3429.79413590448,2840.34507338151
ENSG00000133818,P62070,RRAS2,ENSMUSG00000055723,Rras2,Ras-related protein R-Ras2 OS=Homo sapiens OX=9606 GN=RRAS2 PE=1 SV=1,14,2,5,204,42.1,21.3,40.5,64.2,44.9,52.9,46.5,37.8,45.6,40.7,16.5,19.4,35.4,19.3,21.9,27.2,22.9,15.7,15.9,28.4,346.809207634166,336.831757931423,348.033630914644,352.865158834766,235.427371661858,163.112464812467,237.337815606743,227.405079878076,192.376834484077,258.916061931309,244.103596801508,309.124622744785,174.793684614049,223.336182499275
ENSG00000137845,O14672,ADAM10,ENSMUSG00000054693,Adam10,Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1,1,1,1,748,47.8,24.3,45.7,50.5,40.4,46.3,38.9,36.4,35.9,43.4,,,,,,,,,,,804.486347105658,666.360328748379,834.962871033644,546.138696876704,337.196300978336,314.155963443442,414.013188232069,353.932011679846,328.531755290102,400.042690633824,365.712702342717,414.215945760468,366.351592052348,310.080552577312
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,0.0,0.745662184100807,0.0,1.03678769522205,2.3559850313801,0.0,0.0,2.78888660741607,1.01031791089608,0.0,1.17060464209342,2.38443972090682,3.18173107843623,0.0
