ensembl_id,Accession,Mmus_C57-6J_LVR_GC_I_Rep1_M31,Mmus_C57-6J_LVR_GC_I_Rep2_M32,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_GC_C_Rep1_M36,Mmus_C57-6J_LVR_GC_C_Rep2_M37,Mmus_C57-6J_LVR_GC_C_Rep3_M38,Mmus_C57-6J_LVR_GC_C_Rep4_M39,Mmus_C57-6J_LVR_GC_C_Rep5_M40,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,GC_mean,GC_std,FLT_mean,FLT_std,Checked,Master,Description,Coverage,# Peptides,# PSMs (peptide-spectrum matches),# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI (isoelecric point),Ratios: (BA_Casis) / (Pool),Ratios: (GC_Casis) / (Pool),Ratios: (FLIGHT_Casis) / (Pool),Ratio Standard Errors [%]: (BA_Casis) / (Pool),Ratio Standard Errors [%]: (GC_Casis) / (Pool),Ratio Standard Errors [%]: (FLIGHT_Casis) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
ENSMUSG00000029153,Q9D8W7,271.895633693209,191.097696137327,240.039026931832,273.797271313136,333.406335751645,128.237651818634,236.98698170943,239.141928443381,227.543356147821,493.099013676958,347.962630530683,307.261245910175,307.752432094503,228.834469171401,232.61565481449242,63.78037245981321,314.1065842326697,89.11970688819443,False,IsMasterProtein,OCIA domain-containing protein 2 OS=Mus musculus GN=Ociad2 PE=1 SV=1,29.2207792207792,5,6,5,1,154,16.915,9.41,1.12,1.48,1.52,29.73,11.77,36.99,,5,1,0.0002610284521012,Yellow,7.77641741203016
ENSMUSG00000029163,Q99K41,680.867824109345,600.829970646694,652.520649306113,424.398662596463,363.015244394146,247.555167834376,328.274337021923,295.175290356565,226.555398124806,270.120824255278,277.330402899166,320.493873870497,378.072219806657,231.288038005634,391.75331892683636,177.74817246653683,364.88923867711543,143.1286264397021,False,IsMasterProtein,EMILIN-1 OS=Mus musculus GN=Emilin1 PE=1 SV=1,16.9124877089479,11,12,11,1,1017,107.518,5.3,1.41,1.29,1.44,18.33,27.85,55.47,,11,0,0.0,Green,14.1688427619599
ENSMUSG00000029166,Q6PER3,508.78373790005,544.848646747568,463.335196363485,709.579625276859,544.193329627029,799.5725367953,737.621042836242,789.267609528446,698.47084300898,765.642779915392,873.0856254871,526.466164751142,1028.99848630845,1007.12971497842,660.3939637776592,124.65414185089332,767.7482275829783,220.1982092773637,False,IsMasterProtein,Microtubule-associated protein RP/EB family member 3 OS=Mus musculus GN=Mapre3 PE=1 SV=1,32.7402135231317,9,11,9,1,281,31.946,5.54,1.47,1.48,1.17,10.69,15.61,31.95,,9,0,0.0,Green,19.2734404308428
ENSMUSG00000026078,Q8BVF2,401.246692406739,473.162680953267,475.029241332503,388.25725069276,346.827840148267,206.846965612228,238.882028041012,294.710127623246,270.355607450559,292.125572421309,259.929436442174,381.494483870239,232.993229500034,271.593656250734,318.8617060336168,94.21462448500775,328.7746957871076,87.78243088325362,False,IsMasterProtein,Phosducin-like protein 3 OS=Mus musculus GN=Pdcl3 PE=1 SV=1,18.75,5,9,5,1,240,27.564,4.72,1.16,2.82,1.5,83.96,123.62,73.12,,5,1,0.0002528445006321,Yellow,6.96142956909566
ENSMUSG00000026083,Q05D44,2016.14376061772,1812.53334468497,1635.36938499388,2214.98884338635,2235.06792296732,2615.89166885913,2694.12361276791,2816.68236291711,2411.27403358768,2498.8515124677,3668.2612616063,2711.13343177161,3809.7125675704,2658.62465939693,2371.6738152002627,369.89139669792183,2742.42023731331,771.0778465036973,False,IsMasterProtein,Eukaryotic translation initiation factor 5B OS=Mus musculus GN=Eif5b PE=1 SV=2,33.0592105263158,33,46,33,1,1216,137.532,5.59,1.46,1.35,1.23,21.18,22.02,19.16,,33,0,0.0,Green,73.3742651895156
ENSMUSG00000026087,Q9D7N6,770.221511523034,982.712041791485,701.645117862933,979.063670336032,1604.62105028341,1132.16879078913,1428.31882408853,1205.40302715079,1257.18380248185,1429.84869347105,1382.50296816132,1434.59935873003,1173.82495764422,1111.50705664711,1197.2327211583186,275.56545919011717,1173.2845461218135,271.3746457832724,False,IsMasterProtein,"39S ribosomal protein L30, mitochondrial OS=Mus musculus GN=Mrpl30 PE=1 SV=1",21.875,3,3,2,1,160,18.331,10.15,1.44,1.34,1.23,10.89,16.03,25.73,,3,1,0.0002691065662002,Yellow,8.47972729953278
ENSMUSG00000020349,P63330,2454.45011264361,2774.40068453837,2638.0524580017,2471.01479722901,1969.3143608048,1744.2990254838,2072.41898275282,1723.93811214156,2052.03583069397,2212.06026451253,1879.62244173052,2222.15817530813,1595.98217575304,1651.68943557192,2112.979587008419,380.2099452976428,2095.797106872407,399.60219747322293,False,IsMasterProtein,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Mus musculus GN=Ppp2ca PE=1 SV=1,6.79611650485437,2,5,2,1,309,35.585,5.54,1.33,1.04,1.05,26.86,18.19,22.96,,2,1,0.0002458814851241,Yellow,6.39815326994062
ENSMUSG00000020358,Q99020,4221.5132183731,3575.96468174118,3626.26439118954,3681.19615762531,2370.16947975833,1933.51840054776,2713.2987725258,2396.21117792432,2513.22633491039,2661.93901451496,2416.25198358093,3359.72945427629,2590.19374117706,2198.8166018322,2817.700295111554,796.761591608823,2933.4844777423273,608.2150598337463,False,IsMasterProteinCandidate,Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1,44.9122807017544,18,34,17,1,285,30.812,7.91,1.88,1.62,1.22,19.82,21.43,22.43,,18,0,0.0,Green,44.5979247762041
ENSMUSG00000020359,Q8R1K4,248.526069617777,286.444190862864,287.440137327559,280.280540546119,558.221636761211,567.250558652622,473.135976649241,426.775794827113,566.255876366574,464.920030518344,479.466519414581,519.96231314153,440.096828233241,482.034068910025,446.65858624820027,133.7371639223451,422.028634013057,97.35115594446195,False,IsMasterProteinCandidate,5-phosphohydroxy-L-lysine phospho-lyase OS=Mus musculus GN=Phykpl PE=1 SV=1,26.9807280513919,9,11,9,1,467,51.933,6.46,1.86,1.69,1.27,17.37,12.83,25.87,,9,0,0.0,Green,12.6802261961705
ENSMUSG00000009030,Q9DBX2,721.015224551412,492.79979882114,614.949496366084,383.040207209063,305.054056494661,196.075743558002,324.802653236221,238.78762006415,242.265248835343,375.027813220438,277.56030906022,392.325553860523,268.557239938902,322.009093634341,360.11433508013266,186.03345213327805,376.20995904136726,116.5925412276996,False,IsMasterProtein,Phosducin-like protein OS=Mus musculus GN=Pdcl PE=1 SV=1,11.2956810631229,2,2,2,1,301,34.385,4.87,2.0,1.48,1.44,25.96,16.83,24.4,,2,6,0.0012391573729863,Yellow,3.14216038805879
ENSMUSG00000009090,O35643,1464.09282078014,1226.75764815764,1510.15696554792,1000.36917144028,702.867839139597,645.664350627942,650.73440836304,749.113061391396,823.748440288569,765.282021946812,953.110219305931,832.189345132336,933.502094258743,664.207240635815,894.7112241069034,321.2054607760947,951.2595797525482,272.7212286000554,False,IsMasterProtein,AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=1 SV=2,62.1420996818664,55,98,54,1,943,103.869,5.17,1.52,1.39,1.11,16.37,13.6,26.35,,55,0,0.0,Green,193.155554981362
ENSMUSG00000009112,P59017,1264.4329276059,1532.64260797705,1317.41470083354,820.206415106835,393.145158561126,417.977885039334,573.31977489758,464.49300094162,550.519078108496,398.711229497625,351.111977131335,403.150484374971,353.818856400368,421.672133807061,742.3614904473008,459.50500729273057,580.8693995931051,363.8293994230841,False,IsMasterProtein,Bcl-2-like protein 13 OS=Mus musculus GN=Bcl2l13 PE=1 SV=2,14.7465437788018,5,5,5,1,434,46.691,4.59,0.81,1.05,1.18,3.63,9.34,17.91,,5,0,0.0,Green,12.7771425276139
ENSMUSG00000035459,Q8R4U0,1095.47204969758,934.544927388989,825.951592197678,1147.46050826228,739.717453299531,1048.82053559924,898.310882116269,852.518806147484,788.867098019585,723.695985748912,676.229526259424,656.605942120117,1116.85171646058,826.260890831446,908.3216788955253,129.9767974345861,853.293737411491,201.7872914795077,False,IsMasterProtein,Stabilin-2 OS=Mus musculus GN=Stab2 PE=1 SV=1,6.40875341930442,16,18,16,1,2559,277.348,6.93,2.14,1.77,1.66,62.05,66.52,62.45,,16,0,0.0,Green,38.3264404189486
ENSMUSG00000035472,Q8BZ09,332.657523362356,244.267481294117,271.780959920848,294.720940788152,251.241583872726,255.651659279284,273.328570782112,236.416878008371,318.352708310525,424.857600593359,243.347212309983,337.403608793487,267.383960510205,369.99985734881,273.1309149870702,37.75833743784189,315.6420200378348,64.90152533353066,False,IsMasterProtein,Mitochondrial 2-oxodicarboxylate carrier OS=Mus musculus GN=Slc25a21 PE=1 SV=1,12.751677852349,3,5,3,1,298,33.207,9.72,1.24,1.54,1.36,8.49,11.78,22.91,,3,0,0.0,Green,13.9204526121218
ENSMUSG00000035473,Q8K157,3040.56176947076,3004.90998606622,2325.2812381939,2638.34547115094,2055.76592667131,1620.31108564172,1819.45482385618,1615.96199272599,2430.31654112808,1929.97441728252,1441.71366984586,2045.40667610997,1646.81086537195,2192.13979194278,2226.7545893657516,611.7211997147917,2031.38173284256,405.5260722692687,False,IsMasterProtein,Aldose 1-epimerase OS=Mus musculus GN=Galm PE=1 SV=1,42.6900584795322,11,30,11,1,342,37.775,6.74,1.45,1.55,1.22,30.17,39.48,32.39,,11,0,0.0,Green,61.7604916864519
ENSMUSG00000035493,P82198,1302.43902285058,1092.89874295456,1220.67439346822,995.155522169079,772.955164677562,799.236343773246,853.330968026259,559.926836860215,524.888341168327,768.636610968731,607.607184761476,633.903513651402,513.219682968879,440.477919160601,843.6679171872499,277.4239184867401,739.9535467354841,278.9561986098803,False,IsMasterProtein,Transforming growth factor-beta-induced protein ig-h3 OS=Mus musculus GN=Tgfbi PE=1 SV=1,17.7159590043924,9,12,9,1,683,74.55,7.06,1.13,1.37,1.01,33.05,26.38,36.35,,9,0,0.0,Green,29.7033439458957
ENSMUSG00000042485,Q99JI1,99.492023012922,159.572626899294,109.195239422678,74.6489211618557,137.825094917322,116.65916466931,148.467955752101,132.936502722377,78.804780229215,183.991727854303,245.825453415491,149.02700548232,126.208639172392,80.3608960613146,124.82259260036301,28.36514014584617,138.46541179576488,60.78105782657565,False,IsMasterProtein,Musculoskeletal embryonic nuclear protein 1 OS=Mus musculus GN=Mustn1 PE=1 SV=1,31.7073170731707,2,2,2,1,82,8.936,9.64,1.38,1.68,1.12,10.42,13.61,25.86,,2,1,0.000262260687123,Yellow,7.8950246154793
ENSMUSG00000042487,Q5XJE5,443.029507839322,349.471713114309,457.24367448616,397.635644259873,203.581522701675,123.48005774518,162.158653956822,192.095035873051,144.888835743917,321.326457318522,418.494393560529,407.478959740768,370.756986486304,220.977669933499,231.2436181391823,119.00407150063714,370.55911225509357,78.21628091401175,False,IsMasterProtein,RNA polymerase-associated protein LEO1 OS=Mus musculus GN=Leo1 PE=1 SV=2,8.39580209895053,6,7,6,1,667,75.552,4.46,1.52,1.4,1.14,75.61,43.36,19.56,,6,3,0.0006421232876712,Yellow,3.85243402693075
ENSMUSG00000042502,Q9CWK3,523.289638333662,463.451414389505,505.278753848566,612.31633128391,389.570140765352,548.446342586944,539.20491167905,530.921918714357,563.358690080509,438.709366844818,513.060828264938,523.207694916899,556.556179569912,484.338929521653,508.3204366499113,61.159510554529,519.0668691786708,54.78381701483869,False,IsMasterProteinCandidate,CD2 antigen cytoplasmic tail-binding protein 2 OS=Mus musculus GN=Cd2bp2 PE=1 SV=1,7.30994152046784,2,2,2,1,342,37.671,4.6,1.39,1.33,1.24,15.04,30.19,15.52,,2,5,0.0010379904504878,Yellow,3.23252693012577
ENSMUSG00000028402,Q8VBX6,1151.85467286654,1128.00648374659,1179.94614510044,694.035082053263,326.879780368935,527.98128846656,242.140547558002,243.119745851243,410.322582285803,350.603330100662,294.119687779273,362.236763017164,367.224037288651,483.094409620516,575.7578715919533,397.99632259422543,533.0370649942813,314.62577567681353,False,IsMasterProteinCandidate,Multiple PDZ domain protein OS=Mus musculus GN=Mpdz PE=1 SV=2,6.7639902676399,12,20,10,1,2055,218.576,5.02,1.71,1.31,1.06,23.34,34.93,32.34,,12,0,0.0,Green,13.8181934853105
ENSMUSG00000028405,P28271,5941.68680301754,5033.06398234785,4847.85914916175,5099.01320320392,3542.19733734274,3455.58807472283,3411.68104387625,3145.45882623004,3444.54054112181,3698.35355627989,3358.20417856342,3918.86058995571,3242.14701317378,3572.41176397798,3996.3166583798657,1058.9410204050116,3962.40706490235,728.4059608441412,False,IsMasterProtein,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3,76.0404949381327,69,185,68,1,889,98.063,7.5,1.51,1.41,1.2,10.79,18.84,16.38,,69,0,0.0,Green,272.448774735608
ENSMUSG00000028409,Q3UKJ7,987.36561431743,1013.89669826335,916.179582535473,927.055618065461,887.862175613236,666.790153653271,904.91669209723,738.667081638537,809.359624893032,1002.2791403672,997.18373023808,1046.42741338146,709.810149973472,703.849489308585,858.4082914965836,127.34365456535886,900.3978748385331,139.63438359614887,False,IsMasterProtein,WD40 repeat-containing protein SMU1 OS=Mus musculus GN=Smu1 PE=2 SV=2,22.8070175438596,10,16,10,1,513,57.507,7.18,1.56,1.5,1.28,11.59,21.05,12.97,,10,0,0.0,Green,25.7638307623021
ENSMUSG00000028410,P63037,6360.23485865749,4237.67323582144,3222.67708664702,4412.66398187097,1773.66304907717,2667.75514997784,3006.09989378346,2439.82664736922,3977.31900493183,2320.04632771943,2413.66056988298,2703.1526874401,2166.99312784123,1711.63767832115,3494.6531199454926,1527.1713595822962,2707.2616371032686,884.4359349825,False,IsMasterProtein,DnaJ homolog subfamily A member 1 OS=Mus musculus GN=Dnaja1 PE=1 SV=1,66.4987405541562,27,54,26,1,397,44.839,7.08,1.36,1.36,1.23,17.59,20.71,16.75,,27,0,0.0,Green,87.8500615560891
ENSMUSG00000028412,Q6X893,1837.37122992151,1848.16168702238,1602.14030924771,1177.88341678877,894.693415869533,629.502873678932,956.844691825748,777.49114917192,766.845274156574,976.725957397085,843.346765792514,933.181553910808,983.805857129453,1114.36645971771,1101.5586173780853,516.7947767189023,1090.20718856915,251.70838380247363,False,IsMasterProteinCandidate,Choline transporter-like protein 1 OS=Mus musculus GN=Slc44a1 PE=1 SV=3,2.14395099540582,1,1,1,1,653,73.018,8.75,1.4,1.86,1.39,24.43,18.87,9.86,,1,3,0.0006606474344857,Yellow,4.4224674316911
ENSMUSG00000073940,A8DUK4,2995.57861382073,3375.67680705136,1771.03371391636,3657.82043060902,1121.44808607147,547.051931323223,1172.98309906093,1939.1853639197,1035.57513020903,9993.30584449298,1923.2642017639,883.425597049065,679.829395543645,767.311304799863,1741.0712902080634,1073.548413446846,2810.855784024977,3331.8243593839834,False,IsMasterProtein,Beta-globin OS=Mus musculus GN=Hbbt1 PE=1 SV=1,95.2380952380952,20,744,20,1,147,15.738,7.69,1.13,1.46,1.82,15.6,40.72,52.42,,20,0,0.0,Green,131.454463142165
ENSMUSG00000035437,A2AWA9,454.929977171364,554.042297356218,553.468348500328,350.892857999668,322.321917506255,364.279346073895,308.685545232989,322.779407106125,382.073798325366,346.927435531097,348.381944072039,310.510041870144,396.674275961994,357.995736737741,387.01604125317317,88.97452576742053,380.69294866757303,80.22852957286203,False,IsMasterProtein,Rab GTPase-activating protein 1 OS=Mus musculus GN=Rabgap1 PE=1 SV=1,9.68045112781955,9,10,9,1,1064,120.722,5.25,4.87,3.88,3.08,160.69,151.0,145.15,,9,0,0.0,Green,14.4330502702278
ENSMUSG00000035441,Q5SYD0,528.5140506496,524.730825441505,880.045011263784,440.227298521842,186.651173330271,198.494698549991,208.844125090698,184.756782130959,234.23514060397,149.5236910878,117.344818234943,251.729804320686,188.489801383133,208.119994387981,295.1752565424277,158.96873930557388,319.35434560002415,268.547414210453,False,IsMasterProtein,Unconventional myosin-Id OS=Mus musculus GN=Myo1d PE=1 SV=1,12.2266401590457,13,19,12,1,1006,116.007,9.41,1.32,1.34,1.05,18.06,16.04,26.38,,13,0,0.0,Green,26.7269949945421
ENSMUSG00000035443,Q91YJ3,260.388025858279,254.557490726424,282.519791118411,291.252414361023,469.506092084145,317.502008974929,397.922816993099,276.180967758233,341.104689754269,510.468460726842,610.275333748658,524.435580281428,533.630917105736,453.291601455896,331.0231560213397,79.35314754753257,457.9820141139991,125.62819904175817,False,IsMasterProtein,Thymocyte nuclear protein 1 OS=Mus musculus GN=Thyn1 PE=1 SV=1,25.6637168141593,7,10,7,1,226,26.161,9.11,1.55,1.31,1.12,23.63,19.54,21.54,,7,1,0.0002563445270443,Yellow,7.31560374218223
ENSMUSG00000070544,Q04750,1366.01041348311,1148.18566979677,992.045075940441,1042.6793187734,1260.75720003124,1499.47620961179,1777.03304984756,1491.5616845873,1612.50576581228,1675.89784640473,2134.43495092567,1616.46899903857,1950.24500234715,1375.82360567185,1450.7899990242931,212.7160148211014,1541.0849713002588,432.1453675937768,False,IsMasterProtein,DNA topoisomerase 1 OS=Mus musculus GN=Top1 PE=1 SV=2,26.3363754889179,21,24,21,1,767,90.819,9.33,1.34,1.42,1.24,26.71,23.84,37.21,,21,0,0.0,Green,39.3423874559295
ENSMUSG00000070604,D3YZF7,17.1969849862592,25.7124616517485,10.5313866196754,10.313186961729,48.7871274544623,48.7512901920625,33.5275152777702,52.1194890198648,50.9937523740692,35.7245088720726,80.2829040763481,27.3718285061022,34.1015812972722,20.0277942429239,39.58408870803381,14.061393500890295,31.193312939446198,23.94766909511528,False,IsMasterProtein,V-set and immunoglobulin domain-containing protein 10-like OS=Mus musculus GN=Vsig10l PE=3 SV=1,5.52995391705069,5,8,5,1,868,91.463,8.46,1.96,1.73,1.4,12.16,24.26,26.08,,5,53,0.0100245886135805,Red,1.73571844160219
ENSMUSG00000018209,Q9JI11,625.752156364336,483.133159210149,513.983660376732,494.419801257939,274.54035556818,226.981724167971,285.396742562084,295.31081624107,332.230877571998,284.410034346826,268.79189575053,319.737565097327,246.45001158447,302.447389813088,360.4779759551126,142.18711702669333,347.177194032416,109.9154279617442,False,IsMasterProtein,Serine/threonine-protein kinase 4 OS=Mus musculus GN=Stk4 PE=1 SV=1,29.9794661190965,12,17,12,1,487,55.506,5.19,1.84,1.56,1.56,39.05,37.23,40.29,,12,0,0.0,Green,24.6082469728154
ENSMUSG00000018286,Q60692,1979.60977745742,2295.82773578846,1995.29922021241,2525.7589463002,3436.00435715592,2723.015775584,3212.93127249285,2856.42879422983,3036.8131324258,3647.31851797052,4260.42970978134,3844.31365483308,3271.00478939878,3260.62959094151,2791.5186921620398,511.0334755188945,3257.8220613482627,777.9207297866802,False,IsMasterProtein,Proteasome subunit beta type-6 OS=Mus musculus GN=Psmb6 PE=1 SV=3,49.1596638655462,9,17,9,1,238,25.362,5.11,1.48,1.35,1.29,16.51,18.9,63.08,,9,0,0.0,Green,37.6765710350712
ENSMUSG00000018287,Q7TNE3,575.582412298908,707.498440554898,721.404477197138,826.916515384111,743.097566352093,556.4929377341,702.139404544528,632.211276579041,682.595002606635,729.179278687085,824.07162765346,880.984507231228,735.062358469065,641.686569915992,657.0881486671718,70.7112355537323,765.6150477911541,81.7098811909791,False,IsMasterProtein,Sperm-associated antigen 7 OS=Mus musculus GN=Spag7 PE=1 SV=1,23.7885462555066,6,7,6,1,227,25.905,7.43,1.95,2.12,1.51,17.25,35.42,40.19,,6,1,0.0002760143527463,Yellow,9.21527495559971
ENSMUSG00000018293,P62962,3872.13203196452,3365.12251051746,3783.72678603709,4942.39162067804,4661.14753071486,3113.02958750802,4221.3293045277,3915.78015872637,4219.03238863784,5308.84998978023,5282.60412346397,5385.44040446762,4307.51240553194,4341.33836730162,3909.6533589423957,530.7493813835698,4764.551956751501,623.4020527113365,False,IsMasterProtein,Profilin-1 OS=Mus musculus GN=Pfn1 PE=1 SV=2,73.5714285714286,10,64,10,1,140,14.948,8.28,1.72,1.34,1.25,13.97,21.42,30.52,,10,0,0.0,Green,90.0289330554923
