Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs (peptide-spectrum matches),# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI (isoelecric point),Ratios: (BA_Casis) / (Pool),Ratios: (GC_Casis) / (Pool),Ratios: (FLIGHT_Casis) / (Pool),Ratio Standard Errors [%]: (BA_Casis) / (Pool),Ratio Standard Errors [%]: (GC_Casis) / (Pool),Ratio Standard Errors [%]: (FLIGHT_Casis) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
FALSE,IsMasterProtein,F8VPN4,Protein Agl OS=Mus musculus GN=Agl PE=1 SV=1,74.7389033942559,102,259,100,1,1532,174.175,6.74,1.62,1.35,1.04,11.54,17.7,26.78,,102,0,0,Green,460.702199947918
FALSE,IsMasterProtein,G5E8R3,Pyruvate carboxylase OS=Mus musculus GN=Pcx PE=1 SV=1,80.5602716468591,92,486,88,1,1178,129.618,6.71,1.53,1.34,1.17,9.19,18.04,19,,92,0,0,Green,459.684241499566
FALSE,IsMasterProtein,Q5SWU9-2,Isoform 2 of Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca,57.5744859420898,118,216,113,1,2383,269.786,6.51,1.25,1.46,1.36,23.75,9.61,27.64,,118,0,0,Green,449.470355552009
FALSE,IsMasterProtein,Q68FD5,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,70.9253731343284,115,279,114,1,1675,191.435,5.69,1.48,1.41,1.14,8.89,15.55,18.77,,115,0,0,Green,440.53187132039
FALSE,IsMasterProtein,P01027,Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3,69.0318701142513,105,206,103,1,1663,186.366,6.73,1.48,1.35,1.19,17.54,11.71,17.58,,105,0,0,Green,432.116764120967
FALSE,IsMasterProtein,Q3UQ44,Ras GTPase-activating-like protein IQGAP2 OS=Mus musculus GN=Iqgap2 PE=1 SV=2,72,117,221,114,1,1575,180.416,5.64,1.49,1.45,1.23,10.69,16.86,21.17,,117,0,0,Green,430.569313626486
FALSE,IsMasterProtein,Q62261,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2",58.442657638595,130,214,127,1,2363,274.052,5.58,1.44,1.47,1.15,9.38,9.22,14.34,,130,0,0,Green,426.681821771543
FALSE,IsMasterProtein,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",79.9475753604194,71,284,71,1,763,82.617,9.14,1.56,1.48,1.18,12.44,17.01,20.21,,71,0,0,Green,378.901637865434
FALSE,IsMasterProtein,Q9DBT9,"Dimethylglycine dehydrogenase, mitochondrial OS=Mus musculus GN=Dmgdh PE=1 SV=1",85.9608745684695,70,316,69,1,869,97.194,7.88,1.4,1.51,1.43,11.24,28.06,32.39,,70,0,0,Green,377.060095823372
FALSE,IsMasterProtein,Q8CC88,von Willebrand factor A domain-containing protein 8 OS=Mus musculus GN=Vwa8 PE=1 SV=2,54.1207349081365,97,183,96,1,1905,213.287,6.6,1.42,1.47,1.21,6.08,19.1,21.81,,97,0,0,Green,364.996312650668
FALSE,IsMasterProtein,Q9ET01,"Glycogen phosphorylase, liver form OS=Mus musculus GN=Pygl PE=1 SV=4",77.8823529411765,79,292,78,1,850,97.401,7.09,1.43,1.4,1.18,9.3,24.77,26.18,,79,0,0,Green,361.13802886175
FALSE,IsMasterProtein,Q3V117,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1,70.0272479564033,79,231,78,1,1101,120.718,7.44,1.33,1.4,1.37,31.25,11.27,32.96,,79,0,0,Green,359.415167784185
FALSE,IsMasterProtein,Q01853,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4,80.0248138957816,65,209,63,1,806,89.266,5.26,1.55,1.36,1.21,15.63,10.57,15.21,,65,0,0,Green,354.992829923752
FALSE,IsMasterProtein,P57780,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1,73.7938596491228,68,191,68,1,912,104.911,5.41,1.51,1.27,1.07,11.97,15.37,15.78,,68,0,0,Green,349.093928144424
FALSE,IsMasterProtein,Q3TWI2,Sarcosine dehydrogenase OS=Mus musculus GN=Sardh PE=2 SV=1,85.2013057671382,65,390,64,1,919,101.618,6.74,1.28,1.22,1.15,13.06,23.19,23.34,,65,0,0,Green,345.230117552614
FALSE,IsMasterProtein,E9Q414,Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1,26.7036625971143,112,197,104,1,4505,509.113,6.81,1.25,1.36,1.29,16.92,19.15,20.19,,112,0,0,Green,343.078103354868
FALSE,IsMasterProtein,Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4",79.6791443850267,74,241,71,1,935,101.136,7.14,1.49,1.32,1.14,13.16,18.53,18.66,,74,0,0,Green,336.297176487614
FALSE,IsMasterProtein,P58252,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2,73.4265734265734,67,232,66,1,858,95.253,6.83,1.5,1.36,1.15,12.54,11.68,21.33,,67,0,0,Green,336.007811416158
FALSE,IsMasterProtein,P63038,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1",86.7364746945899,58,422,56,1,573,60.917,6.18,1.66,1.58,1.19,12.52,12.08,16.92,,58,0,0,Green,335.557184287058
FALSE,IsMasterProtein,Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1,26.7106710671067,101,163,98,1,4545,504.411,5.36,1.61,1.35,1.22,18.19,19.77,19.77,,101,0,0,Green,330.294607054655
FALSE,IsMasterProtein,Q3UEQ9,Aminoadipate-semialdehyde synthase OS=Mus musculus GN=Aass PE=2 SV=1,74.4060475161987,65,195,65,1,926,102.909,6.87,1.5,1.27,1.42,24.52,35.62,27.72,,65,0,0,Green,329.860589654192
FALSE,IsMasterProtein,P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2",80.5293005671078,39,395,37,1,529,56.265,5.34,1.5,1.56,1.21,14.24,15.74,26.18,,39,0,0,Green,327.836912393835
FALSE,IsMasterProtein,Q9DBM2,Peroxisomal bifunctional enzyme OS=Mus musculus GN=Ehhadh PE=1 SV=4,86.3509749303621,61,176,60,1,718,78.252,9.13,1.43,1.43,1.36,15.91,23.05,31.52,,61,0,0,Green,327.720029735182
FALSE,IsMasterProtein,Q8CHR6,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Mus musculus GN=Dpyd PE=1 SV=1,65.3658536585366,64,155,61,1,1025,111.181,7.27,1.78,1.47,1.38,19.12,21.57,26.54,,64,0,0,Green,326.022844265494
FALSE,IsMasterProtein,Q546G4,Albumin 1 OS=Mus musculus GN=Alb PE=2 SV=1,89.9671052631579,67,452,66,1,608,68.648,6.07,1.4,1.39,1.11,14.04,23.76,40.57,,67,0,0,Green,319.117730924649
FALSE,IsMasterProtein,E9Q616,Protein Ahnak OS=Mus musculus GN=Ahnak PE=1 SV=1,51.7149929278642,116,166,116,1,5656,603.866,6.3,1.52,1.85,1.11,12.08,33.75,15.52,,116,0,0,Green,315.519557270075
FALSE,IsMasterProtein,Q8VDJ3,Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1,66.4826498422713,91,203,88,1,1268,141.655,6.87,1.5,1.36,1.17,7.24,16.13,16.81,,91,0,0,Green,311.1043135598
FALSE,IsMasterProtein,E9Q1W3,Protein Neb OS=Mus musculus GN=Neb PE=1 SV=1,25.1957494407159,124,152,123,1,7152,828.141,9.07,0.78,3.52,0.71,60.9,124.76,38.97,,124,0,0,Green,307.876363777526
FALSE,IsMasterProtein,P11499,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3,77.3480662983425,70,379,68,1,724,83.229,5.03,1.49,1.35,1.15,10.99,13.16,14.46,,70,0,0,Green,306.46772499007
FALSE,IsMasterProtein,Q3UAD6,"Heat shock protein 90kDa beta (Grp94), member 1 OS=Mus musculus GN=Hsp90b1 PE=2 SV=1",71.3216957605985,77,253,77,1,802,92.418,4.82,1.57,1.35,1.19,11.7,13.38,14.81,,77,0,0,Green,302.932286296426
FALSE,IsMasterProtein,Q61838,Alpha-2-macroglobulin OS=Mus musculus GN=A2m PE=1 SV=3,58.9966555183946,74,173,70,1,1495,165.748,6.68,1.59,1.65,1.49,14.1,12.53,11.88,,74,0,0,Green,302.610942707159
FALSE,IsMasterProtein,E9PZ16,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1,31.5993611681497,89,124,88,1,4383,469.486,6.47,1.5,1.6,1.12,16.5,22.36,24.61,,89,0,0,Green,301.599439641475
FALSE,IsMasterProtein,Q99PL5,Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=1 SV=2,65.981308411215,79,144,79,1,1605,172.776,9.33,1.22,1.38,1.17,14.89,21.7,23.57,,79,0,0,Green,301.496880148087
FALSE,IsMasterProtein,P11276,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=4,45.0141299959629,77,116,75,1,2477,272.368,5.59,1.46,1.35,1.27,21.93,10.35,14.21,,77,0,0,Green,300.469515776536
FALSE,IsMasterProtein,Q68FG2,Protein Sptbn2 OS=Mus musculus GN=Sptbn2 PE=1 SV=1,44.3467336683417,86,128,85,1,2388,270.756,5.86,1.37,1.24,1.07,11.18,22.46,15.35,,86,0,0,Green,300.386536813608
FALSE,IsMasterProtein,Q8VC30,Triokinase/FMN cyclase OS=Mus musculus GN=Tkfc PE=1 SV=1,82.8719723183391,36,157,36,1,578,59.653,6.92,1.37,1.36,1.26,9.39,23.25,37,,36,0,0,Green,298.852092058482
FALSE,IsMasterProtein,Q9R0H0,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5,90.0151285930409,54,213,54,1,661,74.601,8.48,1.44,1.34,1.26,9.85,21.44,24.16,,54,0,0,Green,297.656456621006
FALSE,IsMasterProtein,Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1",82.0560747663551,47,228,47,1,535,57.879,8.07,1.63,1.5,1.29,15.52,19.49,18.81,,47,0,0,Green,290.919202012651
FALSE,IsMasterProtein,P14824,Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3,86.3298662704309,75,203,72,1,673,75.837,5.5,1.57,1.46,1.19,8.73,13.1,15.57,,75,0,0,Green,289.664526736554
FALSE,IsMasterProtein,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3",95.9697732997481,47,352,47,1,397,41.803,8.09,1.63,1.42,1.18,16.06,16.7,22.85,,47,0,0,Green,288.450641493169
FALSE,IsMasterProtein,P38647,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3",73.0486008836524,58,206,57,1,679,73.416,6.07,1.48,1.38,1.13,16.83,12.77,17.38,,58,0,0,Green,286.253871272598
FALSE,IsMasterProtein,Q91Z83,Myosin-7 OS=Mus musculus GN=Myh7 PE=1 SV=1,45.7881136950904,86,141,81,1,1935,222.741,5.76,0.5,4.68,0.59,72.79,131.49,49.91,,86,0,0,Green,285.537537496157
FALSE,IsMasterProtein,Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2",61.3505747126437,79,150,78,1,1392,156.516,6.83,1.41,1.4,1.27,15.53,14,21.61,,79,0,0,Green,285.159580290591
FALSE,IsMasterProtein,Q3UGX2,Spectrin beta 1 OS=Mus musculus GN=Sptb PE=1 SV=1,41.9493344783169,84,126,82,1,2329,267.925,5.49,1.15,1.37,1.63,16.11,39.93,47.63,,84,0,0,Green,284.450942304962
FALSE,IsMasterProtein,Q8CGC7,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4,55.8862433862434,80,147,80,1,1512,169.972,7.66,1.65,1.46,1.22,12.69,17.85,19.53,,80,0,0,Green,284.097309791342
FALSE,IsMasterProtein,P24549,Retinal dehydrogenase 1 OS=Mus musculus GN=Aldh1a1 PE=1 SV=5,78.2435129740519,49,398,48,1,501,54.433,7.8,1.32,1.47,1.43,7.23,16.09,28.42,,49,0,0,Green,282.816137112277
FALSE,IsMasterProtein,E9Q035,Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1,64.4171779141104,74,225,74,1,978,107.727,7.77,1.34,1.34,1.26,15.38,13.78,15.36,,74,0,0,Green,278.200226014726
FALSE,IsMasterProtein,Q5FW97,"Enolase 1, alpha non-neuron OS=Mus musculus GN=EG433182 PE=2 SV=1",92.3963133640553,51,435,48,1,434,47.111,6.8,1.46,1.41,1.19,13.01,16.42,19.23,,51,0,0,Green,276.60017667755
FALSE,IsMasterProtein,Q8BTM8,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5,39.8942198715527,75,105,73,1,2647,281.046,6.04,1.41,1.46,1.21,15.15,12.06,24.09,,75,0,0,Green,274.018300156216
FALSE,IsMasterProtein,P28271,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3,76.0404949381327,69,185,68,1,889,98.063,7.5,1.51,1.41,1.2,10.79,18.84,16.38,,69,0,0,Green,272.448774735608
FALSE,IsMasterProtein,B9EHN0,"Ubiquitin-activating enzyme E1, Chr X OS=Mus musculus GN=Uba1 PE=2 SV=1",67.7693761814745,58,151,56,1,1058,117.734,5.66,1.51,1.4,1.23,19.08,12.66,16.22,,58,0,0,Green,270.028371084994
FALSE,IsMasterProtein,P16460,Argininosuccinate synthase OS=Mus musculus GN=Ass1 PE=1 SV=1,90.7766990291262,55,632,55,1,412,46.555,8.22,1.39,1.3,1.28,27.67,24.69,16.76,,55,0,0,Green,269.223175045662
FALSE,IsMasterProtein,Q99KI0,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1",73.0769230769231,60,194,59,1,780,85.41,7.93,1.4,1.78,1.16,13.28,23.91,22.37,,60,0,0,Green,268.749730923068
FALSE,IsMasterProtein,Q3UQ71,Putative uncharacterized protein OS=Mus musculus GN=Ephx2 PE=2 SV=1,82.129963898917,43,134,42,1,554,62.503,6.33,1.45,1.45,1.26,19.14,21.78,20.29,,43,0,0,Green,267.09119929383
FALSE,IsMasterProtein,P08032,"Spectrin alpha chain, erythrocytic 1 OS=Mus musculus GN=Spta1 PE=1 SV=3",46.832298136646,91,140,88,1,2415,279.693,5.03,1.17,1.3,1.67,17.99,30.26,46.52,,91,0,0,Green,262.25968066018
FALSE,IsMasterProtein,P54869,"Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Mus musculus GN=Hmgcs2 PE=1 SV=2",80.3149606299213,47,375,47,1,508,56.786,8.41,1.57,1.47,1.38,13.62,23.29,22.37,,47,0,0,Green,261.962596852028
FALSE,IsMasterProtein,Q60597,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3",60.8015640273705,60,135,58,1,1023,116.375,6.83,1.42,1.68,1.13,11.76,24.45,16.03,,60,0,0,Green,261.846972949086
FALSE,IsMasterProtein,Q9JLJ2,4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus GN=Aldh9a1 PE=1 SV=1,93.1174089068826,48,162,46,1,494,53.48,6.98,1.6,1.37,1.18,11.1,19.19,20.53,,48,0,0,Green,260.852134492868
FALSE,IsMasterProtein,Q64727,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4,64.9155722326454,71,124,71,1,1066,116.644,6,1.55,1.39,1.14,13.94,10.6,12.2,,71,0,0,Green,260.787458886741
FALSE,IsMasterProtein,P24270,Catalase OS=Mus musculus GN=Cat PE=1 SV=4,86.1480075901328,51,327,51,1,527,59.758,7.88,1.48,1.29,1.23,19.28,18.69,18.54,,51,0,0,Green,260.663855749796
FALSE,IsMasterProtein,Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",77.9385171790235,55,472,54,1,553,59.716,9.19,1.56,1.53,1.24,11.08,14.13,19.31,,55,0,0,Green,259.787383291922
FALSE,IsMasterProtein,P63017,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1,76.9349845201238,54,253,53,1,646,70.827,5.52,1.49,1.38,1.14,10.1,9.77,11.39,,54,0,0,Green,259.583989355269
FALSE,IsMasterProtein,P11679,"Keratin, type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4",91.2244897959184,57,206,57,1,490,54.531,5.82,1.75,1.21,1.04,6.23,15.21,17.24,,57,0,0,Green,259.257962791621
FALSE,IsMasterProtein,Q78PY7,Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1,76.5934065934066,65,151,63,1,910,102.025,7.43,1.53,1.34,1.14,10.84,15.34,24.38,,65,0,0,Green,259.140621809325
FALSE,IsMasterProtein,P26443,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1",75.6272401433692,51,405,50,1,558,61.298,8,1.59,1.34,1.27,7.96,21.13,17.08,,51,0,0,Green,258.977989225914
FALSE,IsMasterProtein,P28665,Murinoglobulin-1 OS=Mus musculus GN=Mug1 PE=1 SV=3,48.6449864498645,66,133,64,1,1476,165.193,6.42,1.7,1.45,1.33,12.99,29.07,11.78,,66,0,0,Green,256.53410829308
FALSE,IsMasterProteinCandidate,O08601,Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp PE=1 SV=2,60.9619686800895,58,124,58,1,894,99.037,7.62,1.47,1.4,1.25,10.82,23.14,21.57,,58,0,0,Green,255.283063143374
FALSE,IsMasterProtein,O08601-2,Isoform 2 of Microsomal triglyceride transfer protein large subunit OS=Mus musculus GN=Mttp,59.95599559956,58,124,58,1,909,100.687,7.61,1.47,1.4,1.25,10.82,23.14,21.57,,58,0,0,Green,255.283063143374
FALSE,IsMasterProtein,Q8BH00,Aldehyde dehydrogenase family 8 member A1 OS=Mus musculus GN=Aldh8a1 PE=1 SV=1,79.6714579055441,44,123,44,1,487,53.629,7.55,1.55,1.41,1.23,17.71,23.21,18.35,,44,0,0,Green,254.859726607444
FALSE,IsMasterProtein,Q8VCT4,Carboxylesterase 1D OS=Mus musculus GN=Ces1d PE=1 SV=1,72.5663716814159,44,186,44,1,565,61.749,6.61,1.48,1.27,1.11,12.72,20.65,17.78,,44,0,0,Green,254.857317505875
FALSE,IsMasterProtein,P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3",84.2987804878049,58,157,55,1,656,70.831,8.75,1.46,1.54,1.15,13.54,11.22,17.92,,58,0,0,Green,253.154590379737
FALSE,IsMasterProtein,Q3UGC8,"Propionyl-Coenzyme A carboxylase, alpha polypeptide, isoform CRA_b OS=Mus musculus GN=Pcca PE=2 SV=1",72.0994475138122,54,126,53,1,724,79.871,7.25,1.49,1.48,1.26,13.41,15.21,25.4,,54,0,0,Green,252.590104247278
FALSE,IsMasterProtein,Q3UEH4,Pyruvate kinase OS=Mus musculus GN=Pklr PE=2 SV=1,85.6353591160221,47,154,47,1,543,58.812,6.92,1.61,1.69,1.4,12.73,21.81,21.89,,47,0,0,Green,250.874889617878
FALSE,IsMasterProtein,Q9D0F9,Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4,88.2562277580071,50,184,49,1,562,61.38,6.57,1.49,1.55,1.25,16.77,19.57,22.03,,50,0,0,Green,250.764413403776
FALSE,IsMasterProtein,P17563,Selenium-binding protein 1 OS=Mus musculus GN=Selenbp1 PE=1 SV=2,95.7627118644068,40,199,40,1,472,52.48,6.29,1.58,1.4,1.21,17.57,19.12,23.11,,40,0,0,Green,249.925191880752
FALSE,IsMasterProtein,Q544B1,"Aldehyde dehydrogenase 2, mitochondrial, isoform CRA_b OS=Mus musculus GN=Aldh2 PE=2 SV=1",83.6223506743738,44,238,43,1,519,56.502,7.62,1.54,1.38,1.29,20.26,16.61,18.44,,44,0,0,Green,249.92228415104
FALSE,IsMasterProtein,Q3U2G2,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1,70.7838479809976,59,121,59,1,842,94.149,5.21,1.53,1.34,1.12,18.96,12.28,15.35,,59,0,0,Green,248.184704711083
FALSE,IsMasterProtein,Q3TF14,Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=2 SV=1,86.8055555555556,41,416,39,1,432,47.657,6.54,1.41,1.28,1.2,18.56,25.45,23.51,,41,0,0,Green,247.56136159716
FALSE,IsMasterProtein,Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1",72.5903614457831,43,175,42,1,664,72.539,7.37,1.47,1.4,1.08,18.4,14.38,32.62,,43,0,0,Green,247.48747181827
FALSE,IsMasterProtein,P06801,NADP-dependent malic enzyme OS=Mus musculus GN=Me1 PE=1 SV=2,89.5104895104895,48,142,47,1,572,63.913,7.44,1.27,1.56,1.35,19,16.72,41.73,,48,0,0,Green,245.379963794033
FALSE,IsMasterProtein,Q8CIE6,Coatomer subunit alpha OS=Mus musculus GN=Copa PE=1 SV=2,54.8202614379085,58,93,57,1,1224,138.344,7.65,1.36,1.5,1.23,12.19,16.77,23.37,,58,0,0,Green,240.077554298572
FALSE,IsMasterProtein,Q8CGK3,"Lon protease homolog, mitochondrial OS=Mus musculus GN=Lonp1 PE=1 SV=2",63.6459430979979,63,121,60,1,949,105.776,6.57,1.65,1.61,1.17,13.81,13.41,16.07,,63,0,0,Green,239.04195545133
FALSE,IsMasterProtein,Q9QXX4,Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus GN=Slc25a13 PE=1 SV=1,78.4023668639053,49,119,47,1,676,74.42,8.6,1.21,1.6,1.41,17.83,16.41,20.89,,49,0,0,Green,237.438419447617
FALSE,IsMasterProtein,Q9QXE0,2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2,81.7555938037866,41,152,41,1,581,63.619,6.27,1.4,1.34,1.18,18.49,16.62,16.61,,41,0,0,Green,236.67826372401
FALSE,IsMasterProteinCandidate,D3YZ54,2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2,85.7400722021661,41,152,41,1,554,60.957,6.18,1.4,1.34,1.18,18.49,16.62,16.61,,41,0,0,Green,236.67826372401
FALSE,IsMasterProteinCandidate,Q922E1,Nicotinamide nucleotide transhydrogenase OS=Mus musculus GN=Nnt PE=2 SV=1,49.8158379373849,50,117,50,1,1086,113.809,7.64,2.18,4,2.84,15.4,20.6,18.88,,50,0,0,Green,236.369584135013
FALSE,IsMasterProtein,Q61941,"NAD(P) transhydrogenase, mitochondrial OS=Mus musculus GN=Nnt PE=1 SV=2",49.8158379373849,50,117,50,1,1086,113.765,7.64,2.18,4,2.84,15.4,20.6,18.88,,50,0,0,Green,236.369584135013
FALSE,IsMasterProteinCandidate,Q8C1W8,"Nicotinamide nucleotide transhydrogenase, isoform CRA_a OS=Mus musculus GN=Nnt PE=2 SV=1",49.8158379373849,50,117,50,1,1086,113.809,7.64,2.18,4,2.84,15.4,20.6,18.88,,50,0,0,Green,236.369584135013
FALSE,IsMasterProtein,P16858,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2,81.3813813813814,35,376,35,1,333,35.787,8.25,1.35,1.54,1.28,13.73,5.83,20.47,,35,0,0,Green,236.263574259614
FALSE,IsMasterProtein,O88428,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Mus musculus GN=Papss2 PE=1 SV=2,85.9903381642512,51,131,49,1,621,70.306,7.58,1.28,1.2,1.05,22.66,20.62,19.99,,51,0,0,Green,235.34651794588
FALSE,IsMasterProtein,O35490,Betaine--homocysteine S-methyltransferase 1 OS=Mus musculus GN=Bhmt PE=1 SV=1,93.6117936117936,46,505,45,1,407,44.992,7.9,1.2,1.28,1.19,13.71,30.27,44.16,,46,0,0,Green,234.571149911338
